# T.32 Role Classification Matrix — full enumeration (generated)
# axes: stat | reach | durability | playstyle | speed | intent  =>  role_code  =>  role
# total combos: 1512

stat   reach  durability playstyle speed   intent  | role_code                                    | role
str    melee  hybrid     auto      light   utility | str-melee-auto-light-utility                 | support
str    melee  hybrid     auto      light   hybrid  | str-melee-auto-light                         | swashbuckler
str    melee  hybrid     auto      swift   damage  | str-melee-auto-swift-damage                  | swashbuckler
str    melee  hybrid     auto      swift   utility | str-melee-auto-swift-utility                 | support
str    melee  hybrid     auto      swift   hybrid  | str-melee-auto-swift                         | swashbuckler
str    melee  hybrid     auto      blazing damage  | str-melee-auto-blazing-damage                | swashbuckler
str    melee  hybrid     auto      blazing utility | str-melee-auto-blazing-utility               | support
str    melee  hybrid     auto      blazing hybrid  | str-melee-auto-blazing                       | swashbuckler
str    melee  hybrid     hybrid    moloch  damage  | str-melee-moloch-damage                      | swashbuckler
str    melee  hybrid     hybrid    moloch  utility | str-melee-moloch-utility                     | support
str    melee  hybrid     hybrid    moloch  hybrid  | str-melee-moloch                             | swashbuckler
str    melee  hybrid     hybrid    leaden  damage  | str-melee-leaden-damage                      | swashbuckler
str    melee  hybrid     hybrid    leaden  utility | str-melee-leaden-utility                     | support
str    melee  hybrid     hybrid    leaden  hybrid  | str-melee-leaden                             | swashbuckler
str    melee  hybrid     hybrid    heavy   damage  | str-melee-heavy-damage                       | swashbuckler
str    melee  hybrid     hybrid    heavy   utility | str-melee-heavy-utility                      | support
str    melee  hybrid     hybrid    heavy   hybrid  | str-melee-heavy                              | swashbuckler
str    melee  hybrid     hybrid    hybrid  damage  | str-melee-damage                             | swashbuckler
str    melee  hybrid     hybrid    hybrid  utility | str-melee-utility                            | support
str    melee  hybrid     hybrid    hybrid  hybrid  | str-melee                                    | swashbuckler
str    melee  hybrid     hybrid    light   damage  | str-melee-light-damage                       | swashbuckler
str    melee  hybrid     hybrid    light   utility | str-melee-light-utility                      | support
str    melee  hybrid     hybrid    light   hybrid  | str-melee-light                              | swashbuckler
str    melee  hybrid     hybrid    swift   damage  | str-melee-swift-damage                       | swashbuckler
str    melee  hybrid     hybrid    swift   utility | str-melee-swift-utility                      | support
str    melee  hybrid     hybrid    swift   hybrid  | str-melee-swift                              | swashbuckler
str    melee  hybrid     hybrid    blazing damage  | str-melee-blazing-damage                     | swashbuckler
str    melee  hybrid     hybrid    blazing utility | str-melee-blazing-utility                    | support
str    melee  hybrid     hybrid    blazing hybrid  | str-melee-blazing                            | swashbuckler
str    melee  hybrid     ability   moloch  damage  | str-melee-ability-moloch-damage              | assassin
str    melee  hybrid     ability   moloch  utility | str-melee-ability-moloch-utility             | support
str    melee  hybrid     ability   moloch  hybrid  | str-melee-ability-moloch                     | assassin
str    melee  hybrid     ability   leaden  damage  | str-melee-ability-leaden-damage              | assassin
str    melee  hybrid     ability   leaden  utility | str-melee-ability-leaden-utility             | support
str    melee  hybrid     ability   leaden  hybrid  | str-melee-ability-leaden                     | assassin
str    melee  hybrid     ability   heavy   damage  | str-melee-ability-heavy-damage               | assassin
str    melee  hybrid     ability   heavy   utility | str-melee-ability-heavy-utility              | support
str    melee  hybrid     ability   heavy   hybrid  | str-melee-ability-heavy                      | assassin
str    melee  hybrid     ability   hybrid  damage  | str-melee-ability-damage                     | assassin
str    melee  hybrid     ability   hybrid  utility | str-melee-ability-utility                    | support
str    melee  hybrid     ability   hybrid  hybrid  | str-melee-ability                            | assassin
str    melee  hybrid     ability   light   damage  | str-melee-ability-light-damage               | assassin
str    melee  hybrid     ability   light   utility | str-melee-ability-light-utility              | support
str    melee  hybrid     ability   light   hybrid  | str-melee-ability-light                      | assassin
str    melee  hybrid     ability   swift   damage  | str-melee-ability-swift-damage               | assassin
str    melee  hybrid     ability   swift   utility | str-melee-ability-swift-utility              | support
str    melee  hybrid     ability   swift   hybrid  | str-melee-ability-swift                      | assassin
str    melee  hybrid     ability   blazing damage  | str-melee-ability-blazing-damage             | assassin
str    melee  hybrid     ability   blazing utility | str-melee-ability-blazing-utility            | support
str    melee  hybrid     ability   blazing hybrid  | str-melee-ability-blazing                    | assassin
str    melee  tanky_hp   auto      moloch  damage  | str-melee-tanky_hp-auto-moloch-damage        | bruiser
str    melee  tanky_hp   auto      moloch  utility | str-melee-tanky_hp-auto-moloch-utility       | tank
str    melee  tanky_hp   auto      moloch  hybrid  | str-melee-tanky_hp-auto-moloch               | tank
str    melee  tanky_hp   auto      leaden  damage  | str-melee-tanky_hp-auto-leaden-damage        | bruiser
str    melee  tanky_hp   auto      leaden  utility | str-melee-tanky_hp-auto-leaden-utility       | tank
str    melee  tanky_hp   auto      leaden  hybrid  | str-melee-tanky_hp-auto-leaden               | tank
str    melee  tanky_hp   auto      heavy   damage  | str-melee-tanky_hp-auto-heavy-damage         | bruiser
str    melee  tanky_hp   auto      heavy   utility | str-melee-tanky_hp-auto-heavy-utility        | tank
str    melee  tanky_hp   auto      heavy   hybrid  | str-melee-tanky_hp-auto-heavy                | tank
str    melee  tanky_hp   auto      hybrid  damage  | str-melee-tanky_hp-auto-damage               | bruiser
str    melee  tanky_hp   auto      hybrid  utility | str-melee-tanky_hp-auto-utility              | tank
str    melee  tanky_hp   auto      hybrid  hybrid  | str-melee-tanky_hp-auto                      | tank
str    melee  tanky_hp   auto      light   damage  | str-melee-tanky_hp-auto-light-damage         | bruiser
str    melee  tanky_hp   auto      light   utility | str-melee-tanky_hp-auto-light-utility        | tank
str    melee  tanky_hp   auto      light   hybrid  | str-melee-tanky_hp-auto-light                | tank
str    melee  tanky_hp   auto      swift   damage  | str-melee-tanky_hp-auto-swift-damage         | bruiser
str    melee  tanky_hp   auto      swift   utility | str-melee-tanky_hp-auto-swift-utility        | tank
str    melee  tanky_hp   auto      swift   hybrid  | str-melee-tanky_hp-auto-swift                | tank
str    melee  tanky_hp   auto      blazing damage  | str-melee-tanky_hp-auto-blazing-damage       | bruiser
str    melee  tanky_hp   auto      blazing utility | str-melee-tanky_hp-auto-blazing-utility      | tank
str    melee  tanky_hp   auto      blazing hybrid  | str-melee-tanky_hp-auto-blazing              | tank
str    melee  tanky_hp   hybrid    moloch  damage  | str-melee-tanky_hp-moloch-damage             | bruiser
str    melee  tanky_hp   hybrid    moloch  utility | str-melee-tanky_hp-moloch-utility            | tank
str    melee  tanky_hp   hybrid    moloch  hybrid  | str-melee-tanky_hp-moloch                    | tank
str    melee  tanky_hp   hybrid    leaden  damage  | str-melee-tanky_hp-leaden-damage             | bruiser
str    melee  tanky_hp   hybrid    leaden  utility | str-melee-tanky_hp-leaden-utility            | tank
str    melee  tanky_hp   hybrid    leaden  hybrid  | str-melee-tanky_hp-leaden                    | tank
str    melee  tanky_hp   hybrid    heavy   damage  | str-melee-tanky_hp-heavy-damage              | bruiser
str    melee  tanky_hp   hybrid    heavy   utility | str-melee-tanky_hp-heavy-utility             | tank
str    melee  tanky_hp   hybrid    heavy   hybrid  | str-melee-tanky_hp-heavy                     | tank
str    melee  tanky_hp   hybrid    hybrid  damage  | str-melee-tanky_hp-damage                    | bruiser
str    melee  tanky_hp   hybrid    hybrid  utility | str-melee-tanky_hp-utility                   | tank
str    melee  tanky_hp   hybrid    hybrid  hybrid  | str-melee-tanky_hp                           | tank
str    melee  tanky_hp   hybrid    light   damage  | str-melee-tanky_hp-light-damage              | bruiser
str    melee  tanky_hp   hybrid    light   utility | str-melee-tanky_hp-light-utility             | tank
str    melee  tanky_hp   hybrid    light   hybrid  | str-melee-tanky_hp-light                     | tank
str    melee  tanky_hp   hybrid    swift   damage  | str-melee-tanky_hp-swift-damage              | bruiser
str    melee  tanky_hp   hybrid    swift   utility | str-melee-tanky_hp-swift-utility             | tank
str    melee  tanky_hp   hybrid    swift   hybrid  | str-melee-tanky_hp-swift                     | tank
str    melee  tanky_hp   hybrid    blazing damage  | str-melee-tanky_hp-blazing-damage            | bruiser
str    melee  tanky_hp   hybrid    blazing utility | str-melee-tanky_hp-blazing-utility           | tank
str    melee  tanky_hp   hybrid    blazing hybrid  | str-melee-tanky_hp-blazing                   | tank
str    melee  tanky_hp   ability   moloch  damage  | str-melee-tanky_hp-ability-moloch-damage     | bruiser
str    melee  tanky_hp   ability   moloch  utility | str-melee-tanky_hp-ability-moloch-utility    | tank
str    melee  tanky_hp   ability   moloch  hybrid  | str-melee-tanky_hp-ability-moloch            | tank
str    melee  tanky_hp   ability   leaden  damage  | str-melee-tanky_hp-ability-leaden-damage     | bruiser
str    melee  tanky_hp   ability   leaden  utility | str-melee-tanky_hp-ability-leaden-utility    | tank
str    melee  tanky_hp   ability   leaden  hybrid  | str-melee-tanky_hp-ability-leaden            | tank
str    melee  tanky_hp   ability   heavy   damage  | str-melee-tanky_hp-ability-heavy-damage      | bruiser
str    melee  tanky_hp   ability   heavy   utility | str-melee-tanky_hp-ability-heavy-utility     | tank
str    melee  tanky_hp   ability   heavy   hybrid  | str-melee-tanky_hp-ability-heavy             | tank
str    melee  tanky_hp   ability   hybrid  damage  | str-melee-tanky_hp-ability-damage            | bruiser
str    melee  tanky_hp   ability   hybrid  utility | str-melee-tanky_hp-ability-utility           | tank
str    melee  tanky_hp   ability   hybrid  hybrid  | str-melee-tanky_hp-ability                   | tank
str    melee  tanky_hp   ability   light   damage  | str-melee-tanky_hp-ability-light-damage      | bruiser
str    melee  tanky_hp   ability   light   utility | str-melee-tanky_hp-ability-light-utility     | tank
str    melee  tanky_hp   ability   light   hybrid  | str-melee-tanky_hp-ability-light             | tank
str    melee  tanky_hp   ability   swift   damage  | str-melee-tanky_hp-ability-swift-damage      | bruiser
str    melee  tanky_hp   ability   swift   utility | str-melee-tanky_hp-ability-swift-utility     | tank
str    melee  tanky_hp   ability   swift   hybrid  | str-melee-tanky_hp-ability-swift             | tank
str    melee  tanky_hp   ability   blazing damage  | str-melee-tanky_hp-ability-blazing-damage    | bruiser
str    melee  tanky_hp   ability   blazing utility | str-melee-tanky_hp-ability-blazing-utility   | tank
str    melee  tanky_hp   ability   blazing hybrid  | str-melee-tanky_hp-ability-blazing           | tank
str    melee  tanky_arm  auto      moloch  damage  | str-melee-tanky_arm-auto-moloch-damage       | bruiser
str    melee  tanky_arm  auto      moloch  utility | str-melee-tanky_arm-auto-moloch-utility      | tank
str    melee  tanky_arm  auto      moloch  hybrid  | str-melee-tanky_arm-auto-moloch              | tank
str    melee  tanky_arm  auto      leaden  damage  | str-melee-tanky_arm-auto-leaden-damage       | bruiser
str    melee  tanky_arm  auto      leaden  utility | str-melee-tanky_arm-auto-leaden-utility      | tank
str    melee  tanky_arm  auto      leaden  hybrid  | str-melee-tanky_arm-auto-leaden              | tank
str    melee  tanky_arm  auto      heavy   damage  | str-melee-tanky_arm-auto-heavy-damage        | bruiser
str    melee  tanky_arm  auto      heavy   utility | str-melee-tanky_arm-auto-heavy-utility       | tank
str    melee  tanky_arm  auto      heavy   hybrid  | str-melee-tanky_arm-auto-heavy               | tank
str    melee  tanky_arm  auto      hybrid  damage  | str-melee-tanky_arm-auto-damage              | bruiser
str    melee  tanky_arm  auto      hybrid  utility | str-melee-tanky_arm-auto-utility             | tank
str    melee  tanky_arm  auto      hybrid  hybrid  | str-melee-tanky_arm-auto                     | tank
str    melee  tanky_arm  auto      light   damage  | str-melee-tanky_arm-auto-light-damage        | bruiser
str    melee  tanky_arm  auto      light   utility | str-melee-tanky_arm-auto-light-utility       | tank
str    melee  tanky_arm  auto      light   hybrid  | str-melee-tanky_arm-auto-light               | tank
str    melee  tanky_arm  auto      swift   damage  | str-melee-tanky_arm-auto-swift-damage        | bruiser
str    melee  tanky_arm  auto      swift   utility | str-melee-tanky_arm-auto-swift-utility       | tank
str    melee  tanky_arm  auto      swift   hybrid  | str-melee-tanky_arm-auto-swift               | tank
str    melee  tanky_arm  auto      blazing damage  | str-melee-tanky_arm-auto-blazing-damage      | bruiser
str    melee  tanky_arm  auto      blazing utility | str-melee-tanky_arm-auto-blazing-utility     | tank
str    melee  tanky_arm  auto      blazing hybrid  | str-melee-tanky_arm-auto-blazing             | tank
str    melee  tanky_arm  hybrid    moloch  damage  | str-melee-tanky_arm-moloch-damage            | bruiser
str    melee  tanky_arm  hybrid    moloch  utility | str-melee-tanky_arm-moloch-utility           | tank
str    melee  tanky_arm  hybrid    moloch  hybrid  | str-melee-tanky_arm-moloch                   | tank
str    melee  tanky_arm  hybrid    leaden  damage  | str-melee-tanky_arm-leaden-damage            | bruiser
str    melee  tanky_arm  hybrid    leaden  utility | str-melee-tanky_arm-leaden-utility           | tank
str    melee  tanky_arm  hybrid    leaden  hybrid  | str-melee-tanky_arm-leaden                   | tank
str    melee  tanky_arm  hybrid    heavy   damage  | str-melee-tanky_arm-heavy-damage             | bruiser
str    melee  tanky_arm  hybrid    heavy   utility | str-melee-tanky_arm-heavy-utility            | tank
str    melee  tanky_arm  hybrid    heavy   hybrid  | str-melee-tanky_arm-heavy                    | tank
str    melee  tanky_arm  hybrid    hybrid  damage  | str-melee-tanky_arm-damage                   | bruiser
str    melee  tanky_arm  hybrid    hybrid  utility | str-melee-tanky_arm-utility                  | tank
str    melee  tanky_arm  hybrid    hybrid  hybrid  | str-melee-tanky_arm                          | tank
str    melee  tanky_arm  hybrid    light   damage  | str-melee-tanky_arm-light-damage             | bruiser
str    melee  tanky_arm  hybrid    light   utility | str-melee-tanky_arm-light-utility            | tank
str    melee  tanky_arm  hybrid    light   hybrid  | str-melee-tanky_arm-light                    | tank
str    melee  tanky_arm  hybrid    swift   damage  | str-melee-tanky_arm-swift-damage             | bruiser
str    melee  tanky_arm  hybrid    swift   utility | str-melee-tanky_arm-swift-utility            | tank
str    melee  tanky_arm  hybrid    swift   hybrid  | str-melee-tanky_arm-swift                    | tank
str    melee  tanky_arm  hybrid    blazing damage  | str-melee-tanky_arm-blazing-damage           | bruiser
str    melee  tanky_arm  hybrid    blazing utility | str-melee-tanky_arm-blazing-utility          | tank
str    melee  tanky_arm  hybrid    blazing hybrid  | str-melee-tanky_arm-blazing                  | tank
str    melee  tanky_arm  ability   moloch  damage  | str-melee-tanky_arm-ability-moloch-damage    | bruiser
str    melee  tanky_arm  ability   moloch  utility | str-melee-tanky_arm-ability-moloch-utility   | tank
str    melee  tanky_arm  ability   moloch  hybrid  | str-melee-tanky_arm-ability-moloch           | tank
str    melee  tanky_arm  ability   leaden  damage  | str-melee-tanky_arm-ability-leaden-damage    | bruiser
str    melee  tanky_arm  ability   leaden  utility | str-melee-tanky_arm-ability-leaden-utility   | tank
str    melee  tanky_arm  ability   leaden  hybrid  | str-melee-tanky_arm-ability-leaden           | tank
str    melee  tanky_arm  ability   heavy   damage  | str-melee-tanky_arm-ability-heavy-damage     | bruiser
str    melee  tanky_arm  ability   heavy   utility | str-melee-tanky_arm-ability-heavy-utility    | tank
str    melee  tanky_arm  ability   heavy   hybrid  | str-melee-tanky_arm-ability-heavy            | tank
str    melee  tanky_arm  ability   hybrid  damage  | str-melee-tanky_arm-ability-damage           | bruiser
str    melee  tanky_arm  ability   hybrid  utility | str-melee-tanky_arm-ability-utility          | tank
str    melee  tanky_arm  ability   hybrid  hybrid  | str-melee-tanky_arm-ability                  | tank
str    melee  tanky_arm  ability   light   damage  | str-melee-tanky_arm-ability-light-damage     | bruiser
str    melee  tanky_arm  ability   light   utility | str-melee-tanky_arm-ability-light-utility    | tank
str    melee  tanky_arm  ability   light   hybrid  | str-melee-tanky_arm-ability-light            | tank
str    melee  tanky_arm  ability   swift   damage  | str-melee-tanky_arm-ability-swift-damage     | bruiser
str    melee  tanky_arm  ability   swift   utility | str-melee-tanky_arm-ability-swift-utility    | tank
str    melee  tanky_arm  ability   swift   hybrid  | str-melee-tanky_arm-ability-swift            | tank
str    melee  tanky_arm  ability   blazing damage  | str-melee-tanky_arm-ability-blazing-damage   | bruiser
str    melee  tanky_arm  ability   blazing utility | str-melee-tanky_arm-ability-blazing-utility  | tank
str    melee  tanky_arm  ability   blazing hybrid  | str-melee-tanky_arm-ability-blazing          | tank
str    ranged squishy    auto      moloch  damage  | str-ranged-squishy-auto-moloch-damage        | marksman
str    ranged squishy    auto      moloch  utility | str-ranged-squishy-auto-moloch-utility       | support
str    ranged squishy    auto      moloch  hybrid  | str-ranged-squishy-auto-moloch               | marksman
str    ranged squishy    auto      leaden  damage  | str-ranged-squishy-auto-leaden-damage        | marksman
str    ranged squishy    auto      leaden  utility | str-ranged-squishy-auto-leaden-utility       | support
str    ranged squishy    auto      leaden  hybrid  | str-ranged-squishy-auto-leaden               | marksman
str    ranged squishy    auto      heavy   damage  | str-ranged-squishy-auto-heavy-damage         | marksman
str    ranged squishy    auto      heavy   utility | str-ranged-squishy-auto-heavy-utility        | support
str    ranged squishy    auto      heavy   hybrid  | str-ranged-squishy-auto-heavy                | marksman
str    ranged squishy    auto      hybrid  damage  | str-ranged-squishy-auto-damage               | marksman
str    ranged squishy    auto      hybrid  utility | str-ranged-squishy-auto-utility              | support
str    ranged squishy    auto      hybrid  hybrid  | str-ranged-squishy-auto                      | marksman
str    ranged squishy    auto      light   damage  | str-ranged-squishy-auto-light-damage         | marksman
str    ranged squishy    auto      light   utility | str-ranged-squishy-auto-light-utility        | support
str    ranged squishy    auto      light   hybrid  | str-ranged-squishy-auto-light                | marksman
str    ranged squishy    auto      swift   damage  | str-ranged-squishy-auto-swift-damage         | marksman
str    ranged squishy    auto      swift   utility | str-ranged-squishy-auto-swift-utility        | support
str    ranged squishy    auto      swift   hybrid  | str-ranged-squishy-auto-swift                | marksman
str    ranged squishy    auto      blazing damage  | str-ranged-squishy-auto-blazing-damage       | marksman
str    ranged squishy    auto      blazing utility | str-ranged-squishy-auto-blazing-utility      | support
str    ranged squishy    auto      blazing hybrid  | str-ranged-squishy-auto-blazing              | marksman
str    ranged squishy    hybrid    moloch  damage  | str-ranged-squishy-moloch-damage             | spellslinger
str    ranged squishy    hybrid    moloch  utility | str-ranged-squishy-moloch-utility            | support
str    ranged squishy    hybrid    moloch  hybrid  | str-ranged-squishy-moloch                    | marksman
str    ranged squishy    hybrid    leaden  damage  | str-ranged-squishy-leaden-damage             | spellslinger
str    ranged squishy    hybrid    leaden  utility | str-ranged-squishy-leaden-utility            | support
str    ranged squishy    hybrid    leaden  hybrid  | str-ranged-squishy-leaden                    | marksman
str    ranged squishy    hybrid    heavy   damage  | str-ranged-squishy-heavy-damage              | spellslinger
str    ranged squishy    hybrid    heavy   utility | str-ranged-squishy-heavy-utility             | support
str    ranged squishy    hybrid    heavy   hybrid  | str-ranged-squishy-heavy                     | marksman
str    ranged squishy    hybrid    hybrid  damage  | str-ranged-squishy-damage                    | spellslinger
str    ranged squishy    hybrid    hybrid  utility | str-ranged-squishy-utility                   | support
str    ranged squishy    hybrid    hybrid  hybrid  | str-ranged-squishy                           | marksman
str    ranged squishy    hybrid    light   damage  | str-ranged-squishy-light-damage              | spellslinger
str    ranged squishy    hybrid    light   utility | str-ranged-squishy-light-utility             | support
str    ranged squishy    hybrid    light   hybrid  | str-ranged-squishy-light                     | marksman
str    ranged squishy    hybrid    swift   damage  | str-ranged-squishy-swift-damage              | spellslinger
str    ranged squishy    hybrid    swift   utility | str-ranged-squishy-swift-utility             | support
str    ranged squishy    hybrid    swift   hybrid  | str-ranged-squishy-swift                     | marksman
str    ranged squishy    hybrid    blazing damage  | str-ranged-squishy-blazing-damage            | spellslinger
str    ranged squishy    hybrid    blazing utility | str-ranged-squishy-blazing-utility           | support
str    ranged squishy    hybrid    blazing hybrid  | str-ranged-squishy-blazing                   | marksman
str    ranged squishy    ability   moloch  damage  | str-ranged-squishy-ability-moloch-damage     | mage
str    ranged squishy    ability   moloch  utility | str-ranged-squishy-ability-moloch-utility    | support
str    ranged squishy    ability   moloch  hybrid  | str-ranged-squishy-ability-moloch            | mage
str    ranged squishy    ability   leaden  damage  | str-ranged-squishy-ability-leaden-damage     | mage
str    ranged squishy    ability   leaden  utility | str-ranged-squishy-ability-leaden-utility    | support
str    ranged squishy    ability   leaden  hybrid  | str-ranged-squishy-ability-leaden            | mage
str    ranged squishy    ability   heavy   damage  | str-ranged-squishy-ability-heavy-damage      | mage
str    ranged squishy    ability   heavy   utility | str-ranged-squishy-ability-heavy-utility     | support
str    ranged squishy    ability   heavy   hybrid  | str-ranged-squishy-ability-heavy             | mage
str    ranged squishy    ability   hybrid  damage  | str-ranged-squishy-ability-damage            | mage
str    ranged squishy    ability   hybrid  utility | str-ranged-squishy-ability-utility           | support
str    ranged squishy    ability   hybrid  hybrid  | str-ranged-squishy-ability                   | mage
str    ranged squishy    ability   light   damage  | str-ranged-squishy-ability-light-damage      | mage
str    ranged squishy    ability   light   utility | str-ranged-squishy-ability-light-utility     | support
str    ranged squishy    ability   light   hybrid  | str-ranged-squishy-ability-light             | mage
str    ranged squishy    ability   swift   damage  | str-ranged-squishy-ability-swift-damage      | mage
str    ranged squishy    ability   swift   utility | str-ranged-squishy-ability-swift-utility     | support
str    ranged squishy    ability   swift   hybrid  | str-ranged-squishy-ability-swift             | mage
str    ranged squishy    ability   blazing damage  | str-ranged-squishy-ability-blazing-damage    | mage
str    ranged squishy    ability   blazing utility | str-ranged-squishy-ability-blazing-utility   | support
