"piece_id","name","affinity","role","role_code","intent","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity","wd_z"
"champ_coral_colossus","Coral Colossus","rain","tank","str-melee-tanky_hp-auto-leaden-utility","utility",5,1,"champion",2676,15300,6318.5,858,362,362,7184.5,0.413,0.3757,0.0373,2.5198,0.1353,0.4122,0.4084,0.0173,0.961839241705442
"champ_coral_colossus@2","Coral Colossus","rain","tank","str-melee-tanky_hp-auto-leaden-utility","utility",5,2,"champion",2508,13812,5552,804,464,464,7644.6,0.402,0.3514,0.0505,5.0397,0.185,0.4014,0.386,0.0382,1.32750040580165
"champ_coral_colossus@3","Coral Colossus","rain","tank","str-melee-tanky_hp-auto-leaden-utility","utility",5,3,"champion",2484,14676,8080.5,993,816,816,8780.8,0.5506,0.5037,0.0469,20.1587,0.3285,0.5558,0.5439,0.0437,1.22777463377541
"champ_dawnwisp","Dawnwisp","clear","support","str-ranged-ability-utility","utility",1,1,"champion",1914,10698,3806.5,606,166,166,6541.8,0.3558,0.3399,0.0159,1,0.0867,0.3598,NA,0.025,0.172583412785178
"champ_dawnwisp@2","Dawnwisp","clear","support","str-ranged-ability-utility","utility",1,2,"champion",2154,12318,5422,820,211,211,6761.2,0.4402,0.4116,0.0286,2,0.098,0.4316,NA,0.019,0.452388860747529
"champ_dawnwisp@3","Dawnwisp","clear","support","str-ranged-ability-utility","utility",1,3,"champion",2532,14382,7627,1134,405,405,7555.7,0.5303,0.4814,0.0489,8,0.16,0.5336,NA,0.0225,0.899636938986564
"champ_dusk_bat","Dusk Bat","cloudy","support","str-ranged-auto-blinding-utility","utility",2,1,"champion",2922,16338,6437,987,228,228,6556.2,0.394,0.3764,0.0176,1.2599,0.078,0.3981,0.4005,0.0209,1.0762196494043
"champ_dusk_bat@2","Dusk Bat","cloudy","support","str-ranged-auto-blinding-utility","utility",2,2,"champion",2238,12984,5687.5,844,257,257,6865,0.438,0.4302,0.0078,2.5198,0.1148,0.4367,0.43,0.0146,0.569317091049824
"champ_dusk_bat@3","Dusk Bat","cloudy","support","str-ranged-auto-blinding-utility","utility",2,3,"champion",1890,10692,5062,818,167,167,6824.3,0.4734,0.5034,-0.0299,10.0794,0.0884,0.4868,0.4487,0.0415,-1.38070601608934
"champ_duskstep_marten","Duskstep Marten","cloudy","swashbuckler","int-melee-auto-blinding-damage","damage",5,1,"champion",2208,12438,4954,765,141,141,6312.5,0.3983,0.411,-0.0127,2.5198,0.0639,0.4059,0.3968,0.0128,-0.423240925325641
"champ_duskstep_marten@2","Duskstep Marten","cloudy","swashbuckler","int-melee-auto-blinding-damage","damage",5,2,"champion",2082,11532,5170.5,889,179,179,6743.2,0.4484,0.4376,0.0108,5.0397,0.086,0.4755,0.4498,0.0515,0.227746753178968
"champ_duskstep_marten@3","Duskstep Marten","cloudy","swashbuckler","int-melee-auto-blinding-damage","damage",5,3,"champion",2406,13656,7816,1403,157,157,6714.7,0.5723,0.5343,0.0381,20.1587,0.0653,0.6294,0.5611,0.0804,0.984000524377939
"champ_eclipse_jaguar","Eclipse Jaguar","cloudy","spellblade","ranged-auto-blinding","hybrid",7,1,"champion",2760,15384,6984.5,1138,229,229,6303.1,0.454,0.3916,0.0624,4,0.083,0.4649,0.437,0.0279,1.97299693437624
"champ_eclipse_jaguar@2","Eclipse Jaguar","cloudy","spellblade","ranged-auto-blinding","hybrid",7,2,"champion",2712,15474,7394.5,1208,245,245,6670.1,0.4779,0.4478,0.03,8,0.0903,0.4862,0.4649,0.0213,1.11334418920269
"champ_eclipse_jaguar@3","Eclipse Jaguar","cloudy","spellblade","ranged-auto-blinding","hybrid",7,3,"champion",2208,12906,8200.5,1381,161,161,6832.6,0.6354,0.6378,-0.0024,32,0.0729,0.6688,0.6055,0.0632,0.253691444029137
"champ_ember_salamander","Ember Salamander","clear","mage","str-ranged-squishy-ability-steady","hybrid",3,1,"champion",2166,12300,4804.5,711,175,175,6462.8,0.3906,0.3868,0.0038,1.5874,0.0808,0.3876,NA,0.0198,-0.0269962113568442
"champ_ember_salamander@2","Ember Salamander","clear","mage","str-ranged-squishy-ability-steady","hybrid",3,2,"champion",2250,12456,5122.5,862,182,182,6744.6,0.4112,0.4162,-0.0049,3.1748,0.0809,0.4027,NA,0.0434,-0.369510642946805
"champ_ember_salamander@3","Ember Salamander","clear","mage","str-ranged-squishy-ability-steady","hybrid",3,3,"champion",2034,11316,6781.5,1190,92,92,5894.8,0.5993,0.5217,0.0775,12.6992,0.0452,0.6132,NA,0.0374,2.87453408843397
"champ_fogveil_moth","Fogveil Moth","mist","support","ranged-ability-utility","utility",5,1,"champion",2226,11610,4663.5,774,204,204,6570.1,0.4017,0.3535,0.0482,2.5198,0.0916,0.391,0.399,0.023,1.26378671811822
"champ_fogveil_moth@2","Fogveil Moth","mist","support","ranged-ability-utility","utility",5,2,"champion",2460,13254,5989,1009,193,193,6546.6,0.4519,0.45,0.0019,5.0397,0.0785,0.4346,0.4464,0.0297,-0.0187975165525647
"champ_fogveil_moth@3","Fogveil Moth","mist","support","ranged-ability-utility","utility",5,3,"champion",2058,11358,6554,1119,198,198,6985.1,0.577,0.635,-0.0579,20.1587,0.0962,0.5784,0.5594,0.0317,-1.67535339632174
"champ_frostfang_wolverine","Frostfang Wolverine","snow","swashbuckler","melee-squishy-auto-blinding-damage","damage",8,1,"champion",2478,13890,5911,937,222,222,6786.2,0.4256,0.4242,0.0014,5.0397,0.0896,0.4313,0.4125,0.0207,0.00287452983654619
"champ_frostfang_wolverine@2","Frostfang Wolverine","snow","swashbuckler","melee-squishy-auto-blinding-damage","damage",8,2,"champion",2466,13632,7019,1181,118,118,6244.8,0.5149,0.5018,0.0131,10.0794,0.0479,0.5242,0.498,0.0268,0.269952169649763
"champ_frostfang_wolverine@3","Frostfang Wolverine","snow","swashbuckler","melee-squishy-auto-blinding-damage","damage",8,3,"champion",2010,10782,7315.5,1390,70,70,5514.7,0.6785,0.7446,-0.0661,40.3175,0.0348,0.6973,0.6578,0.0395,-1.5379580075474
"champ_frostplate_tortoise","Frostplate Tortoise","snow","tank","str-melee-tanky_arm-heavy-utility","utility",5,1,"champion",2040,11322,3990.5,625,99,99,6309.7,0.3525,0.3227,0.0297,2.5198,0.0485,0.3606,0.3482,0.0223,0.751307056316717
"champ_frostplate_tortoise@2","Frostplate Tortoise","snow","tank","str-melee-tanky_arm-heavy-utility","utility",5,2,"champion",2760,15474,6955,1000,326,326,7166.1,0.4495,0.4711,-0.0216,5.0397,0.1181,0.4556,0.4498,0.0289,-0.669785195057173
"champ_frostplate_tortoise@3","Frostplate Tortoise","snow","tank","str-melee-tanky_arm-heavy-utility","utility",5,3,"champion",2778,15558,8611.5,1357,476,476,7759.3,0.5535,0.5866,-0.0331,20.1587,0.1713,0.5636,0.5465,0.0177,-0.988353633474322
"champ_frostquill_porcupine","Frostquill Porcupine","snow","marksman","str-ranged-auto-brisk-damage","damage",9,1,"champion",2178,12348,5700,931,146,146,6546.3,0.4616,0.4495,0.0121,6.3496,0.067,0.4781,0.4478,0.0304,0.233724087090971
"champ_frostquill_porcupine@2","Frostquill Porcupine","snow","marksman","str-ranged-auto-brisk-damage","damage",9,2,"champion",2712,14706,7783.5,1362,170,170,6209.8,0.5293,0.4908,0.0385,12.6992,0.0627,0.5294,0.4825,0.0718,0.820943023325387
"champ_frostquill_porcupine@3","Frostquill Porcupine","snow","marksman","str-ranged-auto-brisk-damage","damage",9,3,"champion",2304,12846,10540.5,1920,41,41,5396.5,0.8205,0.8076,0.013,50.7968,0.0178,0.8286,0.7763,0.0817,0.253742914462599
"champ_geode_beetle","Geode Beetle","cloudy","support","int-ranged-ability-heavy-utility","utility",4,1,"champion",3252,18516,7744,1143,314,314,6892.3,0.4182,0.3937,0.0245,2,0.0966,0.4311,0.4232,0.0264,1.10970390302962
"champ_geode_beetle@2","Geode Beetle","cloudy","support","int-ranged-ability-heavy-utility","utility",4,2,"champion",2424,13674,6204,846,356,356,7251.6,0.4537,0.4546,-9e-04,4,0.1469,0.4572,0.4517,0.0105,0.356342490434484
"champ_geode_beetle@3","Geode Beetle","cloudy","support","int-ranged-ability-heavy-utility","utility",4,3,"champion",2022,10968,4663,711,305,305,7618.8,0.4251,0.4716,-0.0464,16,0.1508,0.4344,0.413,0.0213,-0.993182874647361
"champ_glacierback_mammoth","Glacierback Mammoth","snow","bruiser","melee-tanky_hp-heavy-damage","damage",7,1,"champion",2898,15996,6634.5,1047,268,268,6775.4,0.4148,0.4287,-0.014,4,0.0925,0.4194,0.3995,0.0308,-0.0540854647367026
"champ_glacierback_mammoth@2","Glacierback Mammoth","snow","bruiser","melee-tanky_hp-heavy-damage","damage",7,2,"champion",2508,13716,6527.5,1089,262,262,7387.8,0.4759,0.4751,8e-04,8,0.1045,0.4639,0.4611,0.0431,0.338595418861093
"champ_glacierback_mammoth@3","Glacierback Mammoth","snow","bruiser","melee-tanky_hp-heavy-damage","damage",7,3,"champion",2130,12132,7530.5,1281,245,245,7728.8,0.6207,0.639,-0.0183,32,0.115,0.6311,0.6034,0.0277,-0.168175180917143
"champ_glade_heron","Glade Heron","rain","marksman","int-ranged-auto-steady","hybrid",8,1,"champion",2370,13344,5737,903,177,177,6818.4,0.4299,0.4681,-0.0381,5.0397,0.0747,0.4485,0.4287,0.0324,-0.898797843891837
"champ_glade_heron@2","Glade Heron","rain","marksman","int-ranged-auto-steady","hybrid",8,2,"champion",2388,13398,7222,1177,212,212,6819.5,0.539,0.5325,0.0066,10.0794,0.0888,0.6122,0.5325,0.1182,0.121575703086865
"champ_glade_heron@3","Glade Heron","rain","marksman","int-ranged-auto-steady","hybrid",8,3,"champion",2202,12150,10125.5,1887,16,16,5825.4,0.8334,0.7778,0.0556,40.3175,0.0073,0.8889,0.8235,0.1183,1.2401059894841
"champ_goldcrest_lark","Goldcrest Lark","clear","mage","ranged-ability","hybrid",4,1,"champion",2526,13776,5623,852,273,273,6652.7,0.4082,0.3876,0.0205,2,0.1081,0.4183,NA,0.0163,0.991064310494956
"champ_goldcrest_lark@2","Goldcrest Lark","clear","mage","ranged-ability","hybrid",4,2,"champion",2532,14256,6042,910,205,205,6395.5,0.4238,0.3857,0.0381,4,0.081,0.4272,NA,0.0156,1.51307851764749
"champ_goldcrest_lark@3","Goldcrest Lark","clear","mage","ranged-ability","hybrid",4,3,"champion",2214,12150,6398.5,1010,276,276,7016.9,0.5266,0.5714,-0.0447,16,0.1247,0.5373,NA,0.0398,-0.942761047820127
"champ_goldhide_rhino","Goldhide Rhino","clear","tank","melee-tanky_arm-auto-heavy","hybrid",7,1,"champion",2652,14772,6294,932,300,300,6966.4,0.4261,0.4232,0.0028,4,0.1131,0.4234,NA,0.0294,0.391660403131065
"champ_goldhide_rhino@2","Goldhide Rhino","clear","tank","melee-tanky_arm-auto-heavy","hybrid",7,2,"champion",2352,13146,5887.5,924,270,270,7194.5,0.4479,0.4801,-0.0323,8,0.1148,0.45,NA,0.0326,-0.539630070806949
"champ_goldhide_rhino@3","Goldhide Rhino","clear","tank","melee-tanky_arm-auto-heavy","hybrid",7,3,"champion",2718,15402,9529,1415,707,707,8531.5,0.6187,0.6447,-0.026,32,0.2601,0.6274,NA,0.0166,-0.372475370356536
"champ_granite_gorilla","Granite Gorilla","cloudy","tank","str-melee-tanky_hp-auto-leaden-utility","utility",6,1,"champion",2298,12594,4871.5,709,280,280,7056.3,0.3868,0.4021,-0.0153,3.1748,0.1218,0.3995,0.3759,0.0236,-0.509378885568626
"champ_granite_gorilla@2","Granite Gorilla","cloudy","tank","str-melee-tanky_hp-auto-leaden-utility","utility",6,2,"champion",2544,14424,5926,852,358,358,7694,0.4108,0.4176,-0.0068,6.3496,0.1407,0.4135,0.4079,0.0133,-0.259106022716989
"champ_granite_gorilla@3","Granite Gorilla","cloudy","tank","str-melee-tanky_hp-auto-leaden-utility","utility",6,3,"champion",2532,14364,8579,1315,454,454,8213.9,0.5973,0.6562,-0.059,25.3984,0.1793,0.6232,0.576,0.0518,-1.79607583928822
"champ_grovekeeper_tapir","Grovekeeper Tapir","rain","tank","melee-tanky_arm-auto-leaden","hybrid",4,1,"champion",2178,12798,5487.5,853,123,123,6400,0.4288,0.4473,-0.0185,2,0.0565,0.4339,0.4168,0.0295,-0.165671716718054
"champ_grovekeeper_tapir@2","Grovekeeper Tapir","rain","tank","melee-tanky_arm-auto-leaden","hybrid",4,2,"champion",2958,16602,8004.5,1180,379,379,7162.2,0.4821,0.4709,0.0112,4,0.1281,0.4848,0.4727,0.0215,0.715227257851854
"champ_grovekeeper_tapir@3","Grovekeeper Tapir","rain","tank","melee-tanky_arm-auto-leaden","hybrid",4,3,"champion",2658,14148,7066,1118,489,489,8042.6,0.4994,0.5127,-0.0133,16,0.184,0.5163,0.4877,0.0335,-0.0114402464229858
"champ_hoarfrost_owl","Hoarfrost Owl","snow","support","int-ranged-ability-brisk-utility","utility",4,1,"champion",2574,14874,7067.5,1039,237,237,6651.8,0.4752,0.4332,0.0419,2,0.0921,0.4738,0.4635,0.022,1.62578613055543
"champ_hoarfrost_owl@2","Hoarfrost Owl","snow","support","int-ranged-ability-brisk-utility","utility",4,2,"champion",2616,14268,6449.5,977,328,328,7113.7,0.452,0.4748,-0.0227,4,0.1254,0.4466,0.4346,0.0317,-0.290243288879455
"champ_hoarfrost_owl@3","Hoarfrost Owl","snow","support","int-ranged-ability-brisk-utility","utility",4,3,"champion",2220,11766,6010,873,512,512,7847.9,0.5108,0.5757,-0.0649,16,0.2306,0.5168,0.5,0.0229,-1.5418909901202
"champ_hollow_elk","Hollow Elk","mist","tank","int-melee-tanky_hp-ability-steady-utility","utility",4,1,"champion",2808,15504,5864.5,861,344,344,6928.7,0.3783,0.3785,-2e-04,2,0.1225,0.3924,0.3767,0.03,0.377104419128051
"champ_hollow_elk@2","Hollow Elk","mist","tank","int-melee-tanky_hp-ability-steady-utility","utility",4,2,"champion",2196,11736,5261,849,238,238,7117.6,0.4483,0.4417,0.0066,4,0.1084,0.4489,0.4297,0.036,0.578791726436986
"champ_hollow_elk@3","Hollow Elk","mist","tank","int-melee-tanky_hp-ability-steady-utility","utility",4,3,"champion",2016,11340,6207.5,989,314,314,7927.3,0.5474,0.5524,-0.005,16,0.1558,0.5831,0.5209,0.0622,0.23473690808645
"champ_iceclaw_lynx","Iceclaw Lynx","snow","swashbuckler","int-melee-auto-blinding-damage","damage",6,1,"champion",3000,16848,6913.5,1110,240,240,6626.7,0.4103,0.3981,0.0122,3.1748,0.08,0.4088,0.4088,0.0246,0.300327435421964
"champ_iceclaw_lynx@2","Iceclaw Lynx","snow","swashbuckler","int-melee-auto-blinding-damage","damage",6,2,"champion",2292,12768,6146,1045,185,185,6545.7,0.4814,0.4488,0.0326,6.3496,0.0807,0.4986,0.453,0.0456,0.900982306265893
"champ_iceclaw_lynx@3","Iceclaw Lynx","snow","swashbuckler","int-melee-auto-blinding-damage","damage",6,3,"champion",2358,13014,9341.5,1728,53,53,5783,0.7178,0.6353,0.0825,25.3984,0.0225,0.746,0.6425,0.1081,2.37023123053609
"champ_lostlight_wisp","Lostlight Wisp","mist","support","int-ranged-ability-brisk-utility","utility",1,1,"champion",2544,14760,6987,1001,337,337,7088.6,0.4734,0.4447,0.0287,1,0.1325,0.485,0.4744,0.0213,0.45459205325117
"champ_lostlight_wisp@2","Lostlight Wisp","mist","support","int-ranged-ability-brisk-utility","utility",1,2,"champion",2718,15462,7080,1057,376,376,7175.2,0.4579,0.4172,0.0407,2,0.1383,0.4627,0.4486,0.0295,0.718975153688038
"champ_lostlight_wisp@3","Lostlight Wisp","mist","support","int-ranged-ability-brisk-utility","utility",1,3,"champion",2376,13494,7549,1041,533,533,7791.7,0.5594,0.4651,0.0943,8,0.2243,0.5758,0.5478,0.028,1.89988633563938
"champ_marsh_thrush","Marsh Thrush","rain","support","int-ranged-ability-brisk-utility","utility",6,1,"champion",2328,12972,5376,855,242,242,6722.1,0.4144,0.4191,-0.0046,3.1748,0.104,0.4221,0.4253,0.0416,-0.194329517037742
"champ_marsh_thrush@2","Marsh Thrush","rain","support","int-ranged-ability-brisk-utility","utility",6,2,"champion",2706,15288,7415.5,1183,234,234,6788.2,0.4851,0.4678,0.0172,6.3496,0.0865,0.5122,0.4798,0.0424,0.447546766511163
"champ_marsh_thrush@3","Marsh Thrush","rain","support","int-ranged-ability-brisk-utility","utility",6,3,"champion",1932,10590,7392.5,1258,160,160,6251.3,0.6981,0.6544,0.0437,25.3984,0.0828,0.7456,0.6915,0.0841,1.22780922128391
"champ_marshghast_boar","Marshghast Boar","mist","bruiser","melee-tanky_hp-steady-damage","damage",7,1,"champion",2652,14826,6632,923,335,335,7368.2,0.4473,0.416,0.0313,4,0.1263,0.468,0.4399,0.0283,1.14783642897817
"champ_marshghast_boar@2","Marshghast Boar","mist","bruiser","melee-tanky_hp-steady-damage","damage",7,2,"champion",2094,11868,5470.5,887,188,188,6824.2,0.4609,0.4732,-0.0123,8,0.0898,0.453,0.4755,0.0228,-0.0089802281072261
"champ_marshghast_boar@3","Marshghast Boar","mist","bruiser","melee-tanky_hp-steady-damage","damage",7,3,"champion",2694,15084,8616,1445,427,427,7921.4,0.5712,0.6643,-0.0931,32,0.1585,0.5712,0.5481,0.043,-2.15280559261411
"champ_mirage_caracal","Mirage Caracal","clear","assassin","int-melee-squishy-ability-blinding-damage","damage",8,1,"champion",2688,15276,6650,1029,237,237,6543,0.4353,0.443,-0.0077,5.0397,0.0882,0.4427,NA,0.0299,-0.204852523351512
"champ_mirage_caracal@2","Mirage Caracal","clear","assassin","int-melee-squishy-ability-blinding-damage","damage",8,2,"champion",2508,13728,6829.5,1151,201,201,6275.3,0.4975,0.4952,0.0023,10.0794,0.0801,0.5092,NA,0.0179,0.0234189636683321
"champ_mirage_caracal@3","Mirage Caracal","clear","assassin","int-melee-squishy-ability-blinding-damage","damage",8,3,"champion",2508,13818,9703,1783,130,130,6086.4,0.7022,0.7017,5e-04,40.3175,0.0518,0.6991,NA,0.025,-0.0176699039952397
"champ_mirewarden_toad","Mirewarden Toad","rain","tank","int-melee-tanky_hp-auto-leaden-utility","utility",7,1,"champion",2196,12570,5365.5,769,261,261,7452.4,0.4268,0.4296,-0.0027,4,0.1189,0.4332,0.4248,0.0208,0.245731696388641
"champ_mirewarden_toad@2","Mirewarden Toad","rain","tank","int-melee-tanky_hp-auto-leaden-utility","utility",7,2,"champion",2202,12582,5092,755,247,247,7058,0.4047,0.4182,-0.0135,8,0.1122,0.4158,0.3879,0.0315,-0.0408192186692095
"champ_mirewarden_toad@3","Mirewarden Toad","rain","tank","int-melee-tanky_hp-auto-leaden-utility","utility",7,3,"champion",2340,13206,7456.5,1087,474,474,8269.8,0.5646,0.6697,-0.1051,32,0.2026,0.5786,0.5568,0.0459,-2.47119549823394
"champ_mournhollow","Mournhollow, the Pale Stag","mist","mage","str-ranged-ability-damage","damage",10,1,"champion",2484,13830,7416,1235,229,229,6842,0.5362,0.4495,0.0868,8,0.0922,0.5471,0.5171,0.061,1.25130088105827
"champ_mournhollow@2","Mournhollow, the Pale Stag","mist","mage","str-ranged-ability-damage","damage",10,2,"champion",2256,12438,8061,1456,131,131,6347.6,0.6481,0.5475,0.1006,16,0.0581,0.6602,0.6264,0.0451,1.48754253102018
"champ_mournhollow@3","Mournhollow, the Pale Stag","mist","mage","str-ranged-ability-damage","damage",10,3,"champion",2394,13374,11947,2140,71,71,5458.3,0.8933,0.8457,0.0476,64,0.0297,0.9002,0.8674,0.0552,0.580237643485334
"champ_nerei","Nerei, the Floodmother","rain","mage","int-ranged-ability-damage","damage",10,1,"champion",2442,14058,6394,1066,158,158,6496.5,0.4548,0.4016,0.0532,8,0.0647,0.4765,0.4351,0.0463,0.676103820281468
"champ_nerei@2","Nerei, the Floodmother","rain","mage","int-ranged-ability-damage","damage",10,2,"champion",1560,8538,5351.5,956,111,111,6282.8,0.6268,0.539,0.0878,16,0.0712,0.6729,0.6195,0.0945,1.26841984120044
"champ_nerei@3","Nerei, the Floodmother","rain","mage","int-ranged-ability-damage","damage",10,3,"champion",2472,13380,11632.5,2157,53,53,5579.7,0.8694,0.8466,0.0228,64,0.0214,0.904,0.8464,0.0735,0.155687431959595
"champ_nightglass_mantis","Nightglass Mantis","cloudy","assassin","int-melee-squishy-ability-speedy-damage","damage",8,1,"champion",2610,14178,6877,1117,234,234,6636.6,0.485,0.493,-0.008,5.0397,0.0897,0.4856,0.4867,0.0076,-0.211700667962107
"champ_nightglass_mantis@2","Nightglass Mantis","cloudy","assassin","int-melee-squishy-ability-speedy-damage","damage",8,2,"champion",2244,12546,6447,1090,130,130,6410.8,0.5139,0.4907,0.0232,10.0794,0.0579,0.5227,0.5065,0.0232,0.500506371539806
"champ_nightglass_mantis@3","Nightglass Mantis","cloudy","assassin","int-melee-squishy-ability-speedy-damage","damage",8,3,"champion",2166,12336,8686,1585,83,83,6034,0.7041,0.7189,-0.0148,40.3175,0.0383,0.722,0.6821,0.0399,-0.366925279135601
"champ_pebbleback_pangolin","Pebbleback Pangolin","cloudy","tank","str-melee-tanky_hp-leaden-utility","utility",1,1,"champion",2490,13446,5282.5,787,221,221,6581.4,0.3929,0.4038,-0.011,1,0.0888,0.3989,0.3976,0.0145,-0.420075370694134
"champ_pebbleback_pangolin@2","Pebbleback Pangolin","cloudy","tank","str-melee-tanky_hp-leaden-utility","utility",1,2,"champion",1836,10356,4839.5,742,179,179,6806.5,0.4673,0.471,-0.0037,2,0.0975,0.4612,0.4557,0.0252,-0.259242317928373
"champ_pebbleback_pangolin@3","Pebbleback Pangolin","cloudy","tank","str-melee-tanky_hp-leaden-utility","utility",1,3,"champion",2772,15168,7009,1049,398,398,7566.1,0.4621,0.4794,-0.0173,8,0.1436,0.4614,0.4521,0.0156,-0.55887649842349
"champ_permafrost_walrus","Permafrost Walrus","snow","mage","str-ranged-squishy-ability-leaden-damage","damage",3,1,"champion",2202,12786,4920,758,182,182,6887.6,0.3848,0.4022,-0.0174,1.5874,0.0827,0.3902,0.39,0.0115,-0.861629079139276
