"name","affinity","role","tier","n_ctx","tot_matches","wd_pooled","wd_sd","wd_range","noise_sd","excess_sd"
"Thunderclap Gorilla","thunder","warrior",8,54,216,0.101851388888889,0.193710674618189,1.5,0.220745206119194,-0.0270345315010053
"Iron Maiden","clear","bruiser",7,54,222,0.0765765765765766,0.249420031761958,1,0.278161410275694,-0.0287413785137362
"Slag Sentinel","cloudy","warrior",4,54,228,-0.0657881578947368,0.20754796695664,0.8333,0.236647918935429,-0.0290999519787889
"Iceclaw Lynx","snow","assassin",6,54,306,0.0326771241830065,0.209972823014793,0.8571,0.24000599437032,-0.0300331713555275
"Eclipse Jaguar","cloudy","hybrid",7,54,162,-0.0802475308641975,0.288650622298242,1.0833,0.319044962671799,-0.0303943403735565
"Umbra, the Mountain's Shadow","cloudy","hybrid",10,54,186,-0.00806666666666667,0.22114637143432,1.15,0.251798745336564,-0.030652373902244
"Company Guard","clear","bruiser",4,54,360,0.0819483333333333,0.164710893343795,0.65,0.196953407490392,-0.0322425141465966
"Permafrost Walrus","snow","marksman",3,54,372,-0.0349508064516129,0.158269021600168,0.6428,0.191242538454716,-0.0329735168545484
"Avalanche Engine","snow","marksman",5,54,366,0.0710377049180328,0.148220198763558,0.7778,0.182040335109974,-0.0338201363464159
"Blight Lurker","rain","warrior",3,54,528,0.1439375,0.131398984255766,0.6364,0.167122257777122,-0.0357232735213566
"Drowned Siren","rain","mage",4,54,252,-0.0178555555555556,0.201716089400682,0.7083,0.23849144904895,-0.0367753596482679
"Stretcher-Hand","clear","mage",1,54,222,-0.0202707207207207,0.210154880677213,0.875,0.247641097617917,-0.037486216940704
"Tempest Eel","thunder","mage",6,54,390,0.0500010256410256,0.165092873625802,0.5833,0.202682090111019,-0.0375892164852172
"Shroud-Killer","mist","warrior",7,54,294,-0.074830612244898,0.176404698061771,0.75,0.215852279981725,-0.0394475819199541
"Thunderhide Bison","thunder","warrior",5,54,174,-0.0603408045977012,0.242113900718632,1,0.282557698321349,-0.0404437976027167
"Steam Engineer","clear","mage",4,54,264,-0.109846212121212,0.190755665710887,0.65,0.232976929542376,-0.0422212638314896
"Voltmane Jackal","thunder","hybrid",7,54,240,-0.087505,0.196805283571521,0.75,0.23962861890851,-0.0428233353369895
"Granite Gorilla","cloudy","assassin",6,54,246,0.0203207317073171,0.195633763569188,0.75,0.238518810858772,-0.0428850472895835
"Goldcrest Lark","clear","mage",4,54,282,-0.0744666666666667,0.18030293486661,0.625,0.223310549471192,-0.0430076146045824
"Frostplate Tortoise","snow","warrior",5,54,348,-0.0502798850574713,0.156931239602589,0.6071,0.200883818758427,-0.0439525791558381
"Sergeant-at-Arms","clear","bruiser",3,54,282,0.0567315602836879,0.183729181761904,1,0.228700227636398,-0.0449710458744937
"Thunder Bull","thunder","warrior",7,54,360,0.0722188888888889,0.129408372899682,0.4583,0.174509628673529,-0.0451012557738463
"Eclipse Jaguar","cloudy","hybrid",7,54,426,-0.089199765258216,0.131536264568592,0.5893,0.176964522523968,-0.045428257955376
"Voltscale Mamba","thunder","warrior",3,54,264,-0.0738685606060606,0.175940889577156,0.875,0.221850304132166,-0.0459094145550106
"Picket","clear","marksman",1,54,264,-0.0890185606060606,0.184257489456075,0.7143,0.230260448904437,-0.0460029594483628
"Sundered Lord","mist","hybrid",9,54,186,-0.00268763440860215,0.235636746837151,1,0.281987430118376,-0.0463506832812255
"Storm Tyrant","thunder","hybrid",10,54,228,-0.0986820175438596,0.146556109790695,0.6667,0.192911644166507,-0.0463555343758125
"Dusk Bat","cloudy","mage",2,48,192,0.0234317708333333,0.185382715002948,0.7083,0.232189291760787,-0.0468065767578389
"Frost Sovereign","snow","hybrid",10,54,192,0.1718796875,0.233563677197788,0.875,0.28040481448988,-0.0468411372920925
"Company Captain","clear","mage",5,54,138,-0.0181101449275362,0.209752657750295,0.8,0.257390388573298,-0.0476377308230036
"Riflemaster","clear","marksman",6,54,234,0.0128222222222222,0.196645242688413,0.75,0.244312398338313,-0.0476671556498997
"Stone Warden","cloudy","bruiser",10,54,372,-0.118279032258065,0.120837597141512,0.5238,0.168546745112515,-0.0477091479710024
"Standard Bearer","clear","mage",3,54,300,0.0933306666666667,0.155973410959119,0.5833,0.204432139629097,-0.0484587286699784
"Capture-Rig Wolf","thunder","warrior",3,54,234,-0.0662380341880342,0.180986892752686,0.7083,0.229447706247196,-0.0484608134945094
"Hoarfrost Owl","snow","mage",4,54,240,-0.0499958333333333,0.196541627225987,0.8,0.248085767703338,-0.0515441404773512
"Lord Commander","clear","warrior",7,54,240,0.1812525,0.145284312620978,0.75,0.196883404284638,-0.0515990916636606
"Nightglass Mantis","cloudy","assassin",8,54,294,-0.023812925170068,0.163493803278568,0.775,0.215385355629962,-0.0518915523513943
"Phantom Lynx","mist","assassin",3,54,300,-0.00833133333333333,0.16677323371839,0.65,0.218839161723179,-0.0520659280047886
"Maw of the Drowned","rain","hybrid",9,54,378,0.0634931216931217,0.13923496719666,0.5222,0.191679822532317,-0.0524448553356567
"Steam Knight","clear","warrior",6,54,384,0.0807294270833333,0.129361512556563,0.4821,0.182010011741522,-0.0526484991849596
"Cannoneer","clear","marksman",8,54,228,0.107458333333333,0.204221354517792,0.75,0.257391084086196,-0.0531697295684032
"Coral Colossus","rain","warrior",5,54,276,0.124992753623188,0.159250964840288,0.6333,0.212768308358322,-0.053517343518034
"Geode Beetle","cloudy","mage",4,54,372,-0.155920161290323,0.141085991459094,0.5429,0.19520749933314,-0.0541215078740458
"Nightglass Mantis","cloudy","assassin",8,48,54,0.0185185185185185,0.359564589610141,1.5,0.413957240192534,-0.0543926505823928
"Sunspear Falcon","clear","marksman",9,54,486,0.0761327160493827,0.108576168764086,0.4333,0.163226579532631,-0.0546504107685448
"Iceclaw Lynx","snow","assassin",6,54,438,-0.0125573059360731,0.123360550294645,0.5,0.17821479393541,-0.0548542436407645
"Company Captain","clear","mage",5,54,336,0.0148821428571429,0.128834003719731,0.5357,0.184647401801932,-0.0558133980822006
"Field Medic","clear","mage",2,54,198,-0.0883954545454545,0.208042944841998,0.875,0.264049859415067,-0.0560069145730686
"Levyman","clear","warrior",1,54,486,0.0812761316872428,0.112358930694658,0.4404,0.16875740679749,-0.0563984761028323
"Slag Sentinel","cloudy","warrior",4,54,288,-0.00346458333333333,0.162434412391565,0.8333,0.218908188909696,-0.0564737765181309
"Will-o-Fawn","mist","mage",2,54,258,-0.0910852713178295,0.165562186775975,0.65,0.222323699112806,-0.0567615123368318
"Brineblight Berserker","rain","warrior",5,54,270,0.051857037037037,0.176409220612605,0.7857,0.233732936804162,-0.0573237161915569
"Storm Tyrant","thunder","hybrid",10,54,150,0.116667333333333,0.272336108144982,1.05,0.329758661619035,-0.0574225534740522
"Thunderhoof Colt","thunder","warrior",2,54,246,0.0548715447154472,0.155989259334401,0.8333,0.214451295351922,-0.058462036017521
"Grovekeeper Tapir","rain","bruiser",4,54,336,0.0178625,0.142015278431709,0.5357,0.201413121964069,-0.0593978435323602
"Dawnwisp","clear","mage",1,54,276,0.0307949275362319,0.162422830203674,0.8,0.222023047630537,-0.0596002174268625
"Sunmane Lion","clear","warrior",6,54,522,0.00383103448275862,0.113367220062739,0.55,0.173608023824435,-0.0602408037616957
"Riflemaster","clear","marksman",6,54,270,0.0666751851851852,0.169821030017124,0.75,0.23079734773943,-0.0609763177223063
"Riven Frost-Wyrm","snow","hybrid",9,54,234,-0.153848290598291,0.182074364260896,0.75,0.243376396574325,-0.0613020323134289
"Umbra, the Mountain's Shadow","cloudy","hybrid",10,54,432,-0.142365740740741,0.110311019824955,0.5,0.171994576551381,-0.0616835567264253
"Grand Marshal","clear","warrior",10,54,300,0.0550053333333333,0.134334164324973,0.5333,0.197702007773037,-0.0633678434480637
"Lostlight Wisp","mist","mage",1,54,222,0.218463513513514,0.193641225257399,0.8333,0.257057698216777,-0.0634164729593776
"Glacierback Mammoth","snow","bruiser",7,54,186,-0.0188188172043011,0.198230458692502,0.8333,0.262331027440916,-0.0641005687484138
"Storm Eagle","thunder","mage",9,48,114,0.0175421052631579,0.151936408613059,1,0.216059885004426,-0.0641234763913663
"Granite Gorilla","cloudy","assassin",6,54,276,0.105063405797101,0.174789286604154,0.8333,0.239056555462934,-0.06426726885878
"Sunspear Falcon","clear","marksman",9,54,126,0.107137301587302,0.274150271541666,1.0833,0.338883238379662,-0.0647329668379956
"Caged Storm-Drake","thunder","hybrid",9,54,102,0.137254901960784,0.329563457136698,1.5,0.394329493568584,-0.0647660364318862
"Voltmane Jackal","thunder","hybrid",7,54,264,0.0378787878787879,0.172029392762657,0.75,0.236832083131959,-0.0648026903693027
"Flood Tyrant","rain","hybrid",10,54,252,-0.113091666666667,0.140204018188745,0.6667,0.20515325885787,-0.0649492406691254
"Sundered Lord","mist","hybrid",9,54,258,-0.133720930232558,0.156408676415503,0.6,0.221365849607915,-0.064957173192412
"Grand Marshal","clear","warrior",10,54,228,0.0197368421052632,0.188904786776886,0.75,0.254035981267208,-0.0651311944903224
"Grovekeeper Tapir","rain","bruiser",4,54,174,0.0316114942528736,0.22463709580212,1,0.290039597830958,-0.0654025020288374
"Archmagus Imperator","clear","hybrid",9,54,384,-0.07943125,0.10534031340187,0.425,0.170957416906491,-0.0656171035046213
"Shaftmaw","cloudy","assassin",5,54,282,0.0549581560283688,0.135553949457849,0.6,0.201378566355303,-0.065824616897454
"Cliffeyrie Eagle","cloudy","marksman",9,54,192,0.0104078125,0.208702200094732,0.8333,0.274588216998253,-0.0658860169035208
"Heavy Knight","clear","warrior",4,54,252,0.152776984126984,0.16924103088129,0.625,0.235165346054096,-0.0659243151728066
"Thunderclap Gorilla","thunder","warrior",8,54,246,0.0691065040650407,0.149694481131652,0.75,0.21713270195679,-0.0674382208251382
"Stormhawk","thunder","mage",4,54,186,-0.00806774193548387,0.217520158087638,0.875,0.285219273049573,-0.0676991149619353
"Conscript","clear","warrior",1,54,138,-0.0869615942028985,0.260322635472768,1,0.328732680282391,-0.0684100448096234
"Storm Eagle","thunder","mage",9,54,150,-0.0800013333333333,0.254164881126843,1,0.32265590860423,-0.0684910274773873
"Sparkfly","thunder","mage",1,54,240,0.10416,0.206322294562011,0.75,0.275077517591002,-0.0687552230289903
"Snowpelt Cub","snow","warrior",1,54,306,-0.0326915032679739,0.151140552664835,0.65,0.220048623346105,-0.0689080706812704
"Lostlight Wisp","mist","mage",1,54,246,0.115853658536585,0.169568687088998,0.75,0.238612584421077,-0.0690438973320788
"Arcanist","clear","mage",9,54,324,0.0463015432098765,0.134063292695039,0.5,0.203166325045318,-0.0691030323502782
"Veilfang Wolf","mist","assassin",8,54,234,0.0897461538461538,0.182943762569225,0.5667,0.252339012019804,-0.0693952494505793
"Picket","clear","marksman",1,54,180,-0.0222133333333333,0.206313976851895,0.9167,0.27607284513398,-0.0697588682820844
"Storm Tyrant","thunder","hybrid",10,54,336,0.0387029761904762,0.142269249231366,0.5,0.212818257844838,-0.0705490086134716
"Wintermoth","snow","mage",2,54,264,0.022732196969697,0.175496294059181,1,0.246111672774431,-0.0706153787152495
"Cannoneer","clear","marksman",8,54,294,0.103741836734694,0.133580303186314,0.7,0.204355426714629,-0.0707751235283155
"Hollowed Wisp","mist","assassin",3,54,192,-0.0494796875,0.18024296002753,0.8333,0.251140132113003,-0.0708971720854731
"Gunslinger","clear","marksman",5,54,192,0.0963479166666667,0.194443818727912,0.6667,0.265528593092945,-0.0710847743650329
"Pikeman","clear","warrior",2,54,198,0.131313131313131,0.184902721979005,0.65,0.256043847991253,-0.0711411260122477
"Fogveil Moth","mist","mage",5,48,180,0.0361094444444444,0.195938853187877,0.6666,0.267817835461256,-0.0718789822733792
"Geode Beetle","cloudy","mage",4,54,342,-0.0891804093567252,0.109851050387229,0.5625,0.181911244015809,-0.0720601936285802
"Ember Salamander","clear","mage",3,54,294,0.0323112244897959,0.148531387838835,0.5893,0.220873168973047,-0.0723417811342114
"Goldcrest Lark","clear","mage",4,54,228,-0.107464035087719,0.195988963002527,1.0833,0.268427201049471,-0.0724382380469439
"Phantom Lynx","mist","assassin",3,54,360,-0.0458380555555556,0.129473503387961,0.7857,0.201915819122186,-0.0724423157342242
"Steam Engineer","clear","mage",4,54,324,0.0308685185185185,0.154306083296316,0.9,0.22691741338127,-0.072611330084954
"Glade Heron","rain","mage",8,54,210,-0.0071352380952381,0.0981319636106716,0.5833,0.170791174817579,-0.0726592112069078
"Thunderhoof Colt","thunder","warrior",2,54,330,0.0424281818181818,0.124205677515149,0.4375,0.197042533366969,-0.0728368558518199
"Conscript","clear","warrior",1,54,306,-0.0179748366013072,0.159930927249817,0.75,0.232913054717525,-0.0729821274677073
"Gunslinger","clear","marksman",5,54,180,-0.00556,0.204334995262409,0.875,0.277599509664919,-0.07326451440251
"Shaftmaw","cloudy","assassin",5,54,222,0.0630653153153153,0.176252115225029,0.575,0.249780575458471,-0.0735284602334421
"Reaver of the Reach","cloudy","hybrid",7,54,264,-0.0378829545454545,0.157159069114407,0.7,0.230934612433813,-0.0737755433194054
"Springfrog","rain","mage",1,54,246,-0.0487768292682927,0.161111342072549,0.5833,0.23563108182031,-0.0745197397477607
"Hexblade Officer","clear","assassin",6,54,240,-0.0520866666666667,0.180556720512481,0.7,0.256023061654473,-0.0754663411419918
"Sparkfly","thunder","mage",1,54,270,0.0500040740740741,0.14402931318824,0.625,0.219514193056176,-0.0754848798679361
"Spymaster","clear","assassin",8,54,282,-0.0390014184397163,0.152817060930589,0.6428,0.229313574190251,-0.0764965132596628
"Riptide Caiman","rain","warrior",9,54,300,0.0383373333333333,0.136838608853236,0.575,0.213342341374209,-0.0765037325209733
"Brineblight Berserker","rain","warrior",5,54,180,0.0527772222222222,0.229967248593397,1.2,0.30708560856012,-0.0771183599667231
"Hexblade Officer","clear","assassin",6,54,252,-0.0376944444444444,0.158606491092751,0.7,0.235892081940367,-0.077285590847616
"Dusk Bat","cloudy","mage",2,54,192,0.0729234375,0.178603433567033,0.7083,0.256231381606156,-0.0776279480391234
"Voltscale Mamba","thunder","warrior",3,54,354,-0.0748570621468927,0.118127110836306,0.6666,0.196534893025328,-0.0784077821890222
"Powder Sapper","clear","marksman",2,54,180,-0.00278055555555556,0.21717429894422,0.9,0.295711324853917,-0.0785370259096965
"Phantom Lynx","mist","assassin",3,54,162,0.0740722222222222,0.184718486261302,1,0.263340499409616,-0.078622013148314
"Boulderhide Skink","cloudy","marksman",3,54,270,-0.00555962962962963,0.196863701203941,0.7857,0.27606920486868,-0.0792055036647383
"Wintermoth","snow","mage",2,54,132,0.0265159090909091,0.233870458778626,1.25,0.313528063212825,-0.0796576044341985
"Veil Lord","mist","hybrid",10,54,384,-0.0950567708333333,0.0969114713926538,0.5,0.177086306288791,-0.0801748348961367
"Field Chaplain","clear","mage",3,54,288,-0.0173618055555556,0.131384908441512,0.5,0.211820921636787,-0.0804360131952754
"Avalanche Engine","snow","marksman",5,54,222,0.0270247747747748,0.176674718587613,0.8,0.257880240892003,-0.0812055223043902
"Thunder Bull","thunder","warrior",7,54,342,0.0233918128654971,0.124274770520575,0.575,0.205805994562568,-0.081531224041993
"Iceclaw Lynx","snow","assassin",6,54,360,0.0111094444444444,0.120921641614735,0.5,0.203241933331514,-0.0823202917167787
"Frost Sovereign","snow","hybrid",10,54,138,-0.083336231884058,0.220485849867057,0.75,0.30325410312611,-0.082768253259053
"Permafrost Walrus","snow","marksman",3,54,264,0.0170454545454545,0.160573808132356,0.5714,0.243741606846416,-0.0831677987140597
"Dusk Bat","cloudy","mage",2,54,168,0.00892857142857143,0.225582673352824,0.875,0.308874949470544,-0.0832922761177197
"Cold-Iron Yeti","snow","warrior",4,48,252,0.113099206349206,0.151618100542345,0.8929,0.234934706398498,-0.0833166058561537
"Quarry Crawler","cloudy","warrior",3,54,198,-0.0681843434343434,0.187975801976237,1,0.271692653548437,-0.0837168515722001
"Iron-Collared Hound","snow","warrior",3,54,156,0.0961570512820513,0.228612913837684,0.8333,0.313758140422424,-0.0851452265847404
"Frostfang Wolverine","snow","warrior",8,54,270,0.0314814814814815,0.15798098112686,0.7,0.243149968512797,-0.0851689873859374
"Wraithorn Stag","mist","warrior",6,54,258,0.0116244186046512,0.154330011301198,0.8,0.239531730778668,-0.08520171947747
"Wintermoth","snow","mage",2,54,342,0.0160815789473684,0.11084972301911,0.55,0.196171346931921,-0.0853216239128115
"Nightglass Mantis","cloudy","assassin",8,54,186,-0.131719892473118,0.197738230844778,0.8334,0.283148034373624,-0.0854098035288461
"Hollow Elk","mist","assassin",4,48,132,0.0909121212121212,0.21710244405974,0.875,0.302650332307587,-0.0855478882478474
"Battlemage","clear","mage",5,54,294,0.0493197278911565,0.134536990406658,0.65,0.220186929951241,-0.0856499395445831
"Caged Banshee","mist","mage",5,48,162,0.0308611111111111,0.189419894873992,0.625,0.275206678222161,-0.0857867833481689
"Steam Engineer","clear","mage",4,54,342,-0.0292485380116959,0.105679740934871,0.3833,0.19188155317942,-0.0862018122445487
"Sunspear Falcon","clear","marksman",9,54,294,0.0340187074829932,0.0971406912767804,0.3929,0.183384703871419,-0.0862440125946387
"Springfrog","rain","mage",1,54,174,0.169539655172414,0.187598206256578,0.8333,0.274958988328413,-0.0873607820718345
"Sergeant-at-Arms","clear","bruiser",3,54,312,-0.0080099358974359,0.12042838784936,0.4167,0.208055365841047,-0.0876269779916869
"Glade Heron","rain","mage",8,54,444,-0.0180128378378378,0.105487721167783,0.375,0.193266584729005,-0.0877788635612222
"Flood Tyrant","rain","hybrid",10,54,318,0.0408704402515723,0.14211612580658,0.5667,0.230195215945671,-0.0880790901390917
"Hexblade Officer","clear","assassin",6,54,366,0.0464568306010929,0.13623278813352,0.5,0.224415783087131,-0.0881829949536107
"Cold-Iron Yeti","snow","warrior",4,54,402,0.0310962686567164,0.0984551917730706,0.5625,0.187256738126815,-0.0888015463537441
"Arcanist","clear","mage",9,54,258,0.0329488372093023,0.140748854686449,0.7,0.22981894315686,-0.0890700884704108
"Crossbow Levy","clear","marksman",2,54,372,0.0792989247311828,0.111806567309204,0.5238,0.200926976116558,-0.0891204088073546
"Marsh Thrush","rain","mage",6,54,156,-0.0609025641025641,0.216575083489069,1.0833,0.305777303384853,-0.0892022198957844
"Fogveil Moth","mist","mage",5,54,462,-0.15800974025974,0.0872797981982406,0.3125,0.176644054606297,-0.0893642564080561
"Borealis, the Pale Aurora","snow","hybrid",10,54,240,0.0812520833333333,0.151311999675041,0.6,0.240940172440299,-0.0896281727652576
"Slag Sentinel","cloudy","warrior",4,54,138,0.0760971014492754,0.233670160492609,1,0.323662722498397,-0.0899925620057875
"Marshghast Boar","mist","bruiser",7,54,324,-0.00772037037037037,0.112357726299183,0.4643,0.202483527360863,-0.0901258010616797
"Reedbank Otter","rain","warrior",2,54,192,0.0625052083333333,0.194428137093649,1,0.284891865109546,-0.0904637280158974
"Coral Colossus","rain","warrior",5,54,324,0.141983641975309,0.138209797174022,0.625,0.229104365171005,-0.0908945679969838
"Signal Drummer","clear","mage",1,54,246,0.0345609756097561,0.154294390054532,0.675,0.246021941528658,-0.0917275514741253
"Frostplate Tortoise","snow","warrior",5,54,408,0.0477970588235294,0.088493879766091,0.3968,0.180433220461696,-0.0919393406956046
"Conscript","clear","warrior",1,54,294,0.0510132653061224,0.119546218231358,0.5,0.211863346176267,-0.0923171279449095
"Voltaic Diviner","thunder","mage",5,54,306,-0.150334967320261,0.137047740308594,0.75,0.229998716048839,-0.0929509757402456
"Dredge-Hulk","rain","bruiser",7,54,132,-0.155303787878788,0.264483346959663,1,0.357562388461056,-0.0930790415013936
"Snowpelt Cub","snow","warrior",1,54,210,-0.11190380952381,0.207024620078919,0.75,0.300295736719804,-0.0932711166408848
"Boulderhide Skink","cloudy","marksman",3,54,162,0.0956759259259259,0.221004129285359,1,0.314766628399142,-0.0937624991137827
"Cliffeyrie Eagle","cloudy","marksman",9,54,174,0.100571264367816,0.198029515916854,1,0.291841469591946,-0.0938119536750917
"Voltaic Diviner","thunder","mage",5,54,180,0.130556111111111,0.20602433787295,1,0.299971317215166,-0.0939469793422152
"Caged Storm-Drake","thunder","hybrid",9,54,264,-0.0757507575757576,0.0948330986013595,0.375,0.189124030429441,-0.0942909318280811
"Glacier Goliath","snow","warrior",7,54,276,0.0561648550724638,0.158433702006551,0.75,0.253066955881025,-0.0946332538744735
"Voltmane Jackal","thunder","hybrid",7,54,294,-0.153063605442177,0.132052672450377,0.7,0.227146265012811,-0.0950935925624342
"Granite Gorilla","cloudy","assassin",6,54,144,-0.0520888888888889,0.221216518531026,0.75,0.316639557805155,-0.0954230392741289
"Thunderhide Bison","thunder","warrior",5,54,306,0.0424843137254902,0.123183031955639,0.5,0.218957605552645,-0.0957745735970062
"Aurion, the First Dawn","clear","hybrid",10,54,156,-0.208337179487179,0.15111303682918,0.5,0.247156270202047,-0.0960432333728678
"Voltscale Mamba","thunder","warrior",3,54,306,0.0751666666666667,0.158289037147384,0.7857,0.25434447377033,-0.0960554366229467
"Aegis Tortoise","clear","warrior",5,54,216,0.108800462962963,0.166872965238721,0.9,0.263050765847473,-0.0961778006087518
"Goldhide Rhino","clear","bruiser",7,54,246,0.0569186991869919,0.138026024322147,0.5,0.234653119984945,-0.0966270956627987
"Reaver of the Reach","cloudy","hybrid",7,54,318,0.0770459119496855,0.116957351654051,0.45,0.213674287474335,-0.0967169358202838
"Hoarfrost Owl","snow","mage",4,54,186,-0.174729032258065,0.178984236153737,0.625,0.275921980888933,-0.0969377447351967
"Dredge-Hulk","rain","bruiser",7,54,336,-0.0699375,0.0894626552757523,0.3143,0.186631941530249,-0.0971692862544963
"Spymaster","clear","assassin",8,54,330,0.0181921212121212,0.112400956799486,0.5,0.209919379292745,-0.0975184224932589
"Coral Colossus","rain","warrior",5,54,264,0.0530318181818182,0.130968131861766,0.5,0.228619364715382,-0.0976512328536165
"Mournhollow, the Pale Stag","mist","hybrid",10,54,318,-0.114787421383648,0.109904569949873,0.625,0.208045196726064,-0.0981406267761909
"Drained Stalker","mist","mage",4,54,336,-0.139882738095238,0.145924401700163,0.8333,0.244303441399607,-0.0983790396994439
"Nerei, the Floodmother","rain","hybrid",10,54,282,-0.122342907801418,0.110753740164109,0.5833,0.20934558677743,-0.0985918466133206
"Snowpelt Cub","snow","warrior",1,54,330,0.0742466666666667,0.111854030709039,0.4583,0.210666555103446,-0.0988125243944077
"Maw of the Drowned","rain","hybrid",9,54,174,-0.158046551724138,0.159012229214716,0.75,0.258602218026562,-0.0995899888118457
"Fogveil Moth","mist","mage",5,54,300,-0.0116653333333333,0.1160216847471,0.5125,0.215644271376373,-0.0996225866292728
"Wraithorn Stag","mist","warrior",6,54,162,-0.0246950617283951,0.194204163221725,0.75,0.293838220188403,-0.0996340569666773
"Company Guard","clear","bruiser",4,54,270,-0.0277851851851852,0.135859254251252,0.5,0.235687706543811,-0.0998284522925589
"Heavy Knight","clear","warrior",4,54,240,0.00208583333333333,0.135581400700731,0.55,0.235437398724914,-0.0998559980241824
"Spectral Heron","mist","mage",9,54,264,0.0340909090909091,0.134569766998693,0.5,0.234662835957104,-0.10009306895841
"Battlemage","clear","mage",5,54,312,-0.0721105769230769,0.110189318655762,0.5,0.21041424424231,-0.100224925586548
"Ember Salamander","clear","mage",3,54,372,-0.0268809139784946,0.0937250146560827,0.4643,0.194824013929498,-0.101098999273415
