"piece_id","name","affinity","role","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity"
"champ_coppercrest_stork@2","Coppercrest Stork","thunder","mage",4,2,"champion",192,954,449.5,52,53,53,8603.6,0.4712,0.6038,-0.1326,4,0.276,0.4811,0.4906,0.044
"champ_ember_salamander","Ember Salamander","clear","mage",3,1,"champion",264,1422,485,35,93,93,8917.3,0.3411,0.4726,-0.1315,1.5874,0.3523,0.346,0,0.0844
"enemy_stormhawk@2","Stormhawk","thunder","mage",4,2,"enemy",438,2448,794,100,102,102,8580.9,0.3243,0.4485,-0.1242,4,0.2329,0.3689,0.3407,0.0699
"champ_hoarfrost_owl@2","Hoarfrost Owl","snow","mage",4,2,"champion",240,1302,604.5,69,66,66,9445.5,0.4643,0.5714,-0.1071,4,0.275,0.4747,0.3917,0.1359
"enemy_stormhawk","Stormhawk","thunder","mage",4,1,"enemy",300,1602,700.5,85,99,99,9209.8,0.4373,0.5431,-0.1058,2,0.33,0.3933,0.4382,0.0899
"champ_geode_beetle","Geode Beetle","cloudy","mage",4,1,"champion",342,1980,639,56,79,79,8634.2,0.3227,0.4273,-0.1045,2,0.231,0.3242,0.3773,0.0697
"champ_coppercrest_stork@3","Coppercrest Stork","thunder","mage",4,3,"champion",294,1656,836,105,102,102,9787.8,0.5048,0.6087,-0.1039,16,0.3469,0.5054,0.5362,0.0688
"champ_storm_eagle@2","Storm Eagle","thunder","mage",9,2,"champion",150,972,542,66,60,60,10011.9,0.5576,0.6605,-0.1029,12.6992,0.4,0.5648,0.4877,0.1574
"champ_marsh_thrush@3","Marsh Thrush","rain","mage",6,3,"champion",66,348,192.5,27,15,15,8632.9,0.5532,0.6552,-0.102,25.3984,0.2273,0.5345,0.5776,0.1034
"champ_goldcrest_lark@3","Goldcrest Lark","clear","mage",4,3,"champion",228,1212,570,65,85,85,9437.8,0.4703,0.5693,-0.099,16,0.3728,0.4381,0,0.0817
"enemy_field_medic@3","Field Medic","clear","mage",2,3,"enemy",198,1140,725.5,73,71,71,8975.1,0.6364,0.7316,-0.0952,10.0794,0.3586,0.6316,0,0.0395
"enemy_battlemage@2","Battlemage","clear","mage",5,2,"enemy",174,1002,445,60,32,32,8415.5,0.4441,0.5389,-0.0948,5.0397,0.1839,0.4371,0,0.0719
"champ_spectral_heron@3","Spectral Heron","mist","mage",9,3,"champion",348,1968,1442.5,230,74,74,8301.3,0.733,0.8262,-0.0932,50.7968,0.2126,0.7515,0.6936,0.0671
"enemy_signal_drummer","Signal Drummer","clear","mage",1,1,"enemy",198,1020,436,33,100,100,9760.8,0.4275,0.5176,-0.0902,1,0.5051,0.4353,0,0.0676
"enemy_drained_stalker@3","Drained Stalker","mist","mage",4,3,"enemy",246,1416,801.5,100,61,61,8728.9,0.566,0.6525,-0.0865,16,0.248,0.5551,0.5297,0.0614
"champ_storm_eagle","Storm Eagle","thunder","mage",9,1,"champion",60,330,236,35,8,8,7564.8,0.7152,0.8,-0.0848,6.3496,0.1333,0.7273,0.7273,0.1091
"champ_will_o_fawn","Will-o-Fawn","mist","mage",2,1,"champion",138,696,217.5,31,19,19,7960.1,0.3125,0.3966,-0.0841,1.2599,0.1377,0.3405,0.2759,0.0647
"enemy_voltaic_diviner","Voltaic Diviner","thunder","mage",5,1,"enemy",192,990,458.5,52,65,65,9438.3,0.4631,0.5455,-0.0823,2.5198,0.3385,0.5606,0.4636,0.1515
"enemy_steam_engineer@3","Steam Engineer","clear","mage",4,3,"enemy",264,1506,766.5,108,62,62,8627.8,0.509,0.5896,-0.0807,16,0.2348,0.5259,0,0.0797
"enemy_battlemage@3","Battlemage","clear","mage",5,3,"enemy",312,1866,795,106,67,67,8860.6,0.426,0.5048,-0.0788,20.1587,0.2147,0.4164,0,0.0531
"champ_tempest_eel@3","Tempest Eel","thunder","mage",6,3,"champion",78,486,276,41,13,13,7936.6,0.5679,0.642,-0.0741,25.3984,0.1667,0.5802,0.5185,0.1358
"champ_marsh_thrush@2","Marsh Thrush","rain","mage",6,2,"champion",156,936,444,39,59,59,10380.2,0.4744,0.5449,-0.0705,6.3496,0.3782,0.5385,0.4968,0.0929
"champ_dusk_bat","Dusk Bat","cloudy","mage",2,1,"champion",168,870,340.5,20,83,83,9752.8,0.3914,0.4483,-0.0569,1.2599,0.494,0.3931,0.3828,0.0793
"enemy_stormhawk@3","Stormhawk","thunder","mage",4,3,"enemy",186,1092,687,96,45,45,8986.3,0.6291,0.6813,-0.0522,16,0.2419,0.6429,0.5797,0.0714
"champ_will_o_fawn@2","Will-o-Fawn","mist","mage",2,2,"champion",258,1506,623,41,111,111,9808.2,0.4137,0.4582,-0.0445,2.5198,0.4302,0.4124,0.4821,0.1295
"champ_tempest_eel","Tempest Eel","thunder","mage",6,1,"champion",234,1140,481.5,78,48,48,8143.1,0.4224,0.4579,-0.0355,3.1748,0.2051,0.4026,0.4421,0.0395
"enemy_arcanist@3","Arcanist","clear","mage",9,3,"enemy",96,600,424,73,6,6,6993,0.7067,0.74,-0.0333,50.7968,0.0625,0.69,0,0.05
"enemy_caged_banshee","Caged Banshee","mist","mage",5,1,"enemy",114,660,116,13,7,7,8643.7,0.1758,0.2091,-0.0333,2.5198,0.0614,0.1591,0.2773,0.1591
"champ_goldcrest_lark@2","Goldcrest Lark","clear","mage",4,2,"champion",282,1752,904.5,95,68,68,8958.5,0.5163,0.5445,-0.0283,4,0.2411,0.5171,0,0.0377
"enemy_drained_stalker","Drained Stalker","mist","mage",4,1,"enemy",252,1446,693,82,51,51,8402.1,0.4793,0.5062,-0.027,2,0.2024,0.5332,0.4876,0.0996
"champ_geode_beetle@3","Geode Beetle","cloudy","mage",4,3,"champion",150,792,275,34,27,27,8982.7,0.3472,0.3712,-0.024,16,0.18,0.3977,0.3371,0.0758
"champ_dusk_bat@3","Dusk Bat","cloudy","mage",2,3,"champion",192,924,278,21,51,51,9358.9,0.3009,0.3247,-0.0238,10.0794,0.2656,0.3344,0.3052,0.0682
"champ_glade_heron","Glade Heron","rain","mage",8,1,"champion",180,1002,457,53,44,44,8792.6,0.4561,0.479,-0.023,5.0397,0.2444,0.4611,0.491,0.0749
"enemy_steam_engineer@2","Steam Engineer","clear","mage",4,2,"enemy",342,2046,855.5,78,88,88,8732.2,0.4181,0.4399,-0.0217,4,0.2573,0.4443,0,0.0543
"champ_sparkfly@2","Sparkfly","thunder","mage",1,2,"champion",306,1668,610.5,69,66,66,8493.4,0.366,0.3849,-0.0189,2,0.2157,0.3723,0.3813,0.027
"champ_dawnwisp@3","Dawnwisp","clear","mage",1,3,"champion",330,1818,995,104,151,151,10135.3,0.5473,0.5644,-0.0171,8,0.4576,0.5743,0,0.0743
"enemy_signal_drummer@3","Signal Drummer","clear","mage",1,3,"enemy",246,1440,812.5,91,75,75,9340.2,0.5642,0.5708,-0.0066,8,0.3049,0.5771,0,0.0833
"enemy_field_chaplain@3","Field Chaplain","clear","mage",3,3,"enemy",390,2124,900,83,151,151,9714.5,0.4237,0.4294,-0.0056,12.6992,0.3872,0.4322,0,0.0636
"champ_ember_salamander@2","Ember Salamander","clear","mage",3,2,"champion",372,2118,1069.5,138,88,88,9159.5,0.505,0.5099,-0.005,3.1748,0.2366,0.4958,0,0.0581
"enemy_drowned_siren@3","Drowned Siren","rain","mage",4,3,"enemy",252,1386,608.5,62,95,95,9885.5,0.439,0.4416,-0.0025,16,0.377,0.5043,0.4545,0.1407
"enemy_field_medic","Field Medic","clear","mage",2,1,"enemy",198,1026,376.5,44,60,60,8705.4,0.367,0.3684,-0.0015,1.2599,0.303,0.3538,0,0.0877
"champ_marsh_thrush","Marsh Thrush","rain","mage",6,1,"champion",282,1680,551.5,52,101,101,9196.8,0.3283,0.3286,-3e-04,3.1748,0.3582,0.3268,0.3375,0.0304
"champ_springfrog","Springfrog","rain","mage",1,1,"champion",246,1380,552.5,62,68,68,9476,0.4004,0.4,4e-04,1,0.2764,0.3913,0.4,0.1717
"enemy_stretcher_hand@2","Stretcher-Hand","clear","mage",1,2,"enemy",228,1344,439.5,49,47,47,8929.7,0.327,0.3259,0.0011,2,0.2061,0.3281,0,0.0603
"enemy_caged_banshee@2","Caged Banshee","mist","mage",5,2,"enemy",162,798,290,35,48,48,9212.1,0.3634,0.3609,0.0025,5.0397,0.2963,0.3609,0.3947,0.0789
"enemy_hierarch","Hierarch","clear","mage",8,1,"enemy",96,558,218,28,10,10,8339.6,0.3907,0.3871,0.0036,5.0397,0.1042,0.3978,0,0.0753
"champ_glade_heron@2","Glade Heron","rain","mage",8,2,"champion",444,2280,1052.5,150,140,140,9344,0.4616,0.4579,0.0037,10.0794,0.3153,0.4816,0.4763,0.0526
"champ_fogveil_moth@2","Fogveil Moth","mist","mage",5,2,"champion",300,1710,810.5,106,81,81,9086.3,0.474,0.4702,0.0038,5.0397,0.27,0.4754,0.4719,0.0368
"enemy_company_captain","Company Captain","clear","mage",5,1,"enemy",138,828,130.5,6,31,31,8567.6,0.1576,0.1522,0.0054,2.5198,0.2246,0.1268,0,0.1268
"enemy_field_chaplain@2","Field Chaplain","clear","mage",3,2,"enemy",270,1524,866.5,132,50,50,8685.8,0.5686,0.563,0.0056,3.1748,0.1852,0.5906,0,0.0551
"champ_tempest_eel@2","Tempest Eel","thunder","mage",6,2,"champion",390,1986,980.5,138,111,111,8681.5,0.4937,0.4864,0.0073,6.3496,0.2846,0.4592,0.5242,0.065
"champ_storm_eagle@3","Storm Eagle","thunder","mage",9,3,"champion",114,516,436,99,10,10,7524.1,0.845,0.8256,0.0194,50.7968,0.0877,0.814,0.8837,0.1512
"enemy_stretcher_hand","Stretcher-Hand","clear","mage",1,1,"enemy",222,1158,395,38,59,59,8303.4,0.3411,0.3212,0.0199,1,0.2658,0.3368,0,0.101
"enemy_field_chaplain","Field Chaplain","clear","mage",3,1,"enemy",288,1668,616,59,100,100,9318.6,0.3693,0.3489,0.0204,1.5874,0.3472,0.3651,0,0.0737
"champ_glade_heron@3","Glade Heron","rain","mage",8,3,"champion",210,1110,1002,179,23,23,8382.2,0.9027,0.8811,0.0216,40.3175,0.1095,0.9135,0.9027,0.0676
"champ_wintermoth@3","Wintermoth","snow","mage",2,3,"champion",342,2016,811,79,105,105,9654.3,0.4023,0.378,0.0243,10.0794,0.307,0.4137,0.3705,0.061
"enemy_arcanist","Arcanist","clear","mage",9,1,"enemy",324,1782,699,86,74,74,8952.7,0.3923,0.367,0.0253,6.3496,0.2284,0.3687,0,0.0488
"enemy_drowned_siren@2","Drowned Siren","rain","mage",4,2,"enemy",468,2424,787,105,66,66,8132.2,0.3247,0.297,0.0276,4,0.141,0.3416,0.3181,0.0532
"champ_dawnwisp","Dawnwisp","clear","mage",1,1,"champion",138,888,337,41,32,32,8999.7,0.3795,0.3514,0.0282,1,0.2319,0.375,0,0.0608
"champ_ember_salamander@3","Ember Salamander","clear","mage",3,3,"champion",294,1602,856,128,75,75,8704.6,0.5343,0.5056,0.0287,12.6992,0.2551,0.5693,0,0.088
"enemy_steam_engineer","Steam Engineer","clear","mage",4,1,"enemy",324,1626,719.5,85,90,90,8853.3,0.4425,0.4133,0.0292,2,0.2778,0.441,0,0.0609
"enemy_company_captain@2","Company Captain","clear","mage",5,2,"enemy",336,1992,689.5,50,90,90,9316.6,0.3461,0.3163,0.0299,5.0397,0.2679,0.3569,0,0.0467
"enemy_standard_bearer@3","Standard Bearer","clear","mage",3,3,"enemy",312,1812,507,21,124,124,10107.6,0.2798,0.2483,0.0315,12.6992,0.3974,0.3046,0,0.0563
"champ_goldcrest_lark","Goldcrest Lark","clear","mage",4,1,"champion",144,1038,443,31,45,45,9687.4,0.4268,0.3931,0.0337,2,0.3125,0.4335,0,0.0723
"champ_wintermoth","Wintermoth","snow","mage",2,1,"champion",264,1284,476.5,50,80,80,8700.6,0.3711,0.3364,0.0347,1.2599,0.303,0.3598,0.3458,0.0818
"champ_spectral_heron@2","Spectral Heron","mist","mage",9,2,"champion",222,1230,752.5,119,34,34,8375.1,0.6118,0.5756,0.0362,12.6992,0.1532,0.6024,0.6195,0.0293
"champ_springfrog@2","Springfrog","rain","mage",1,2,"champion",180,966,536.5,66,55,55,9547.5,0.5554,0.5155,0.0399,2,0.3056,0.5683,0.559,0.0807
"champ_dusk_bat@2","Dusk Bat","cloudy","mage",2,2,"champion",192,1116,423.5,39,58,58,9141.6,0.3795,0.3387,0.0408,2.5198,0.3021,0.4005,0.3333,0.0753
"champ_dawnwisp@2","Dawnwisp","clear","mage",1,2,"champion",276,1566,647,75,59,59,8953.2,0.4132,0.3716,0.0415,2,0.2138,0.41,0,0.069
"champ_sparkfly","Sparkfly","thunder","mage",1,1,"champion",270,1458,516.5,49,85,85,9234.5,0.3543,0.3128,0.0415,1,0.3148,0.3416,0.3086,0.0782
"enemy_signal_drummer@2","Signal Drummer","clear","mage",1,2,"enemy",210,1188,452,76,32,32,8979.4,0.3805,0.3384,0.0421,2,0.1524,0.404,0,0.0833
"champ_will_o_fawn@3","Will-o-Fawn","mist","mage",2,3,"champion",330,1728,945,137,85,85,9492.2,0.5469,0.5035,0.0434,10.0794,0.2576,0.5764,0.5677,0.0573
"enemy_battlemage","Battlemage","clear","mage",5,1,"enemy",294,1608,690,77,91,91,8690.6,0.4291,0.3843,0.0448,2.5198,0.3095,0.4235,0,0.0522
"champ_lostlight_wisp@2","Lostlight Wisp","mist","mage",1,2,"champion",270,1584,538,58,61,61,8593,0.3396,0.2917,0.048,2,0.2259,0.3542,0.3314,0.0417
"champ_spectral_heron","Spectral Heron","mist","mage",9,1,"champion",264,1584,664,82,70,70,9062.6,0.4192,0.3712,0.048,6.3496,0.2652,0.4394,0.4223,0.0303
"champ_coppercrest_stork","Coppercrest Stork","thunder","mage",4,1,"champion",216,1080,455,58,40,40,8336,0.4213,0.3667,0.0546,2,0.1852,0.425,0.4444,0.0389
"enemy_arcanist@2","Arcanist","clear","mage",9,2,"enemy",258,1452,793,131,43,43,8107.2,0.5461,0.4876,0.0585,12.6992,0.1667,0.5558,0,0.0599
"champ_wintermoth@2","Wintermoth","snow","mage",2,2,"champion",132,864,259.5,21,49,49,9935.4,0.3003,0.2292,0.0712,2.5198,0.3712,0.2743,0.2708,0.1076
"enemy_stretcher_hand@3","Stretcher-Hand","clear","mage",1,3,"enemy",354,1896,906.5,104,110,110,9206.8,0.4781,0.3956,0.0825,8,0.3107,0.4937,0,0.0396
"champ_fogveil_moth","Fogveil Moth","mist","mage",5,1,"champion",180,888,400.5,61,35,35,8718.7,0.451,0.3649,0.0861,2.5198,0.1944,0.4358,0.4358,0.0709
"enemy_field_medic@2","Field Medic","clear","mage",2,2,"enemy",222,1254,359,39,49,49,8919.7,0.2863,0.1962,0.0901,2.5198,0.2207,0.2871,0,0.055
"enemy_hierarch@2","Hierarch","clear","mage",8,2,"enemy",192,1194,623,55,111,111,10816.4,0.5218,0.4271,0.0946,10.0794,0.5781,0.5226,0,0.0804
"champ_lostlight_wisp@3","Lostlight Wisp","mist","mage",1,3,"champion",246,1422,717.5,70,109,109,9936.8,0.5046,0.4051,0.0995,8,0.4431,0.5169,0.4768,0.0992
"enemy_standard_bearer","Standard Bearer","clear","mage",3,1,"enemy",300,1656,555.5,47,76,76,8786.2,0.3354,0.2101,0.1253,1.5874,0.2533,0.3333,0,0.0562
"champ_sparkfly@3","Sparkfly","thunder","mage",1,3,"champion",240,1272,677.5,68,118,118,10434.1,0.5326,0.3915,0.1411,8,0.4917,0.5165,0.5071,0.059
"champ_springfrog@3","Springfrog","rain","mage",1,3,"champion",174,972,636.5,69,89,89,10256.4,0.6548,0.5123,0.1425,8,0.5115,0.6944,0.6574,0.0648
"enemy_voltaic_diviner@2","Voltaic Diviner","thunder","mage",5,2,"enemy",180,948,592.5,92,31,31,7837.1,0.625,0.4557,0.1693,5.0397,0.1722,0.6424,0.6203,0.0348
"enemy_caged_banshee@3","Caged Banshee","mist","mage",5,3,"enemy",60,384,200,16,22,22,9797.2,0.5208,0.3438,0.1771,20.1587,0.3667,0.5391,0.3672,0.25
"champ_lostlight_wisp","Lostlight Wisp","mist","mage",1,1,"champion",222,1212,615.5,52,101,101,9691.5,0.5078,0.2376,0.2702,1,0.455,0.5099,0.5446,0.0941
