"piece_id","name","role","tier","affinity","win_rate","wr_delta","timeout_rate"
"enemy_thunder_bull","Thunder Bull","warrior",7,"thunder",0.68258125,0.082225,0.0480625
"enemy_sundered_lord","Sundered Lord","hybrid",9,"mist",0.68605625,-0.0992125,0.088425
"champ_veilfang_wolf","Veilfang Wolf","assassin",8,"mist",0.70315625,0.0142,0.08120625
"enemy_riven_frost_wyrm","Riven Frost-Wyrm","hybrid",9,"snow",0.70615,-0.07285,0.06214375
"champ_spectral_heron","Spectral Heron","mage",9,"mist",0.70811875,-0.0745125,0.085575
"enemy_lord_commander","Lord Commander","warrior",7,"clear",0.7118,0.112975,0.0413875
"champ_umbra","Umbra, the Mountain's Shadow","hybrid",10,"cloudy",0.72300625,-0.17023125,0.10320625
"champ_mournhollow","Mournhollow, the Pale Stag","hybrid",10,"mist",0.73605625,-0.1580875,0.09923125
"enemy_archmagus_imperator","Archmagus Imperator","hybrid",9,"clear",0.73929375,-0.0470375,0.0513125
"enemy_cannoneer","Cannoneer","marksman",8,"clear",0.746675,0.05510625,0.035075
"champ_riptide_caiman","Riptide Caiman","warrior",9,"rain",0.74946875,-0.03309375,0.01681875
"champ_aerion","Aerion, the Skybreaker","hybrid",10,"thunder",0.7569375,-0.1357875,0.05843125
"champ_nerei","Nerei, the Floodmother","hybrid",10,"rain",0.77596875,-0.11461875,0.0526625
"enemy_veil_lord","Veil Lord","hybrid",10,"mist",0.794625,-0.09436875,0.04108125
"enemy_flood_tyrant","Flood Tyrant","hybrid",10,"rain",0.80679375,-0.08573125,0.04126875
"enemy_frost_sovereign","Frost Sovereign","hybrid",10,"snow",0.811,-0.0809375,0.03951875
"champ_thunderclap_gorilla","Thunderclap Gorilla","warrior",8,"thunder",0.81883125,0.12680625,0.02329375
"champ_glacierback_mammoth","Glacierback Mammoth","bruiser",7,"snow",0.8357,0.2329875,0.0898375
"enemy_stone_warden","Stone Warden","bruiser",10,"cloudy",0.8444,-0.04800625,0.28330625
"champ_borealis","Borealis, the Pale Aurora","hybrid",10,"snow",0.85006875,-0.04355,0.072025
"champ_cliffeyrie_eagle","Cliffeyrie Eagle","marksman",9,"cloudy",0.85664375,0.07228125,0.03166875
"enemy_quarried_behemoth","Quarried Behemoth","bruiser",9,"cloudy",0.86753125,0.08094375,0.0999375
"champ_frostquill_porcupine","Frostquill Porcupine","marksman",9,"snow",0.877075,0.09086875,0.0170625
"champ_sunspear_falcon","Sunspear Falcon","marksman",9,"clear",0.87865,0.09824375,0.0163125
"enemy_storm_tyrant","Storm Tyrant","hybrid",10,"thunder",0.8803625,-0.012475,0.01411875
"champ_aurion","Aurion, the First Dawn","hybrid",10,"clear",0.8909,-0.003225,0.0095375
"enemy_grand_marshal","Grand Marshal","warrior",10,"clear",0.96859375,0.0741125,0.0097
