"piece_id","name","affinity","role","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity","wd_z"
"champ_ember_salamander","Ember Salamander","clear","mage",3,1,"champion",264,1422,485,35,93,93,8917.3,0.3411,0.4726,-0.1315,1.5874,0.3523,0.346,0,0.0844,-1.65967151363711
"champ_ember_salamander@2","Ember Salamander","clear","mage",3,2,"champion",372,2118,1069.5,138,88,88,9159.5,0.505,0.5099,-0.005,3.1748,0.2366,0.4958,0,0.0581,-0.232929757123945
"champ_ember_salamander@3","Ember Salamander","clear","mage",3,3,"champion",294,1602,856,128,75,75,8704.6,0.5343,0.5056,0.0287,12.6992,0.2551,0.5693,0,0.088,0.147158758247546
"champ_fogveil_moth","Fogveil Moth","mist","mage",5,1,"champion",180,888,400.5,61,35,35,8718.7,0.451,0.3649,0.0861,2.5198,0.1944,0.4358,0.4358,0.0709,0.758250215930623
"champ_fogveil_moth@2","Fogveil Moth","mist","mage",5,2,"champion",300,1710,810.5,106,81,81,9086.3,0.474,0.4702,0.0038,5.0397,0.27,0.4754,0.4719,0.0368,-0.0955408116235472
"champ_fogveil_moth@3","Fogveil Moth","mist","mage",5,3,"champion",462,2520,1324,165,160,160,9873.5,0.5254,0.6952,-0.1698,20.1587,0.3463,0.5548,0.5155,0.0488,-1.89649005079006
"champ_frostfang_wolverine","Frostfang Wolverine","snow","warrior",8,1,"champion",150,936,450.5,49,51,51,9223.3,0.4813,0.3013,0.18,5.0397,0.34,0.4359,0.5064,0.0833,1.66844763671345
"champ_frostfang_wolverine@2","Frostfang Wolverine","snow","warrior",8,2,"champion",270,1458,628.5,88,81,81,9178.5,0.4311,0.4198,0.0113,10.0794,0.3,0.4424,0.3786,0.1379,-0.0188926995431483
"champ_frostfang_wolverine@3","Frostfang Wolverine","snow","warrior",8,3,"champion",78,438,282,49,16,16,8223.7,0.6438,0.7945,-0.1507,40.3175,0.2051,0.5822,0.5959,0.1644,-1.63921951918493
"champ_frostplate_tortoise","Frostplate Tortoise","snow","warrior",5,1,"champion",84,426,206,30,6,6,7810.9,0.4836,0.4789,0.0047,2.5198,0.0714,0.4859,0.4859,0.0845,-0.08620409321773
"champ_frostplate_tortoise@2","Frostplate Tortoise","snow","warrior",5,2,"champion",408,2244,1002.5,92,119,119,9019.7,0.4467,0.4091,0.0377,5.0397,0.2917,0.4652,0.4238,0.0414,0.2561422483289
"champ_frostplate_tortoise@3","Frostplate Tortoise","snow","warrior",5,3,"champion",348,2022,1152,133,131,131,9746.6,0.5697,0.6053,-0.0356,20.1587,0.3764,0.6098,0.5534,0.0608,-0.504281595167099
"champ_frostquill_porcupine","Frostquill Porcupine","snow","marksman",9,1,"champion",60,336,173,22,14,14,8547.9,0.5149,0.5357,-0.0208,6.3496,0.2333,0.4107,0.5268,0.1875,-0.0201374910018649
"champ_frostquill_porcupine@2","Frostquill Porcupine","snow","marksman",9,2,"champion",186,1056,582.5,86,53,53,9171.2,0.5516,0.5739,-0.0223,12.6992,0.2849,0.5057,0.5426,0.0966,-0.0346097664761781
"champ_frostquill_porcupine@3","Frostquill Porcupine","snow","marksman",9,3,"champion",312,1656,1314.5,240,56,56,8107.3,0.7938,0.8043,-0.0106,50.7968,0.1795,0.7899,0.7826,0.0543,0.078273982223465
"champ_geode_beetle","Geode Beetle","cloudy","mage",4,1,"champion",342,1980,639,56,79,79,8634.2,0.3227,0.4273,-0.1045,2,0.231,0.3242,0.3773,0.0697,-0.790557739079507
"champ_geode_beetle@2","Geode Beetle","cloudy","mage",4,2,"champion",372,2064,1069.5,106,140,140,9648.5,0.5182,0.6715,-0.1533,4,0.3763,0.4942,0.5465,0.0523,-1.31066017922118
"champ_geode_beetle@3","Geode Beetle","cloudy","mage",4,3,"champion",150,792,275,34,27,27,8982.7,0.3472,0.3712,-0.024,16,0.18,0.3977,0.3371,0.0758,0.0673981304164849
"champ_glacierback_mammoth","Glacierback Mammoth","snow","bruiser",7,1,"champion",276,1578,798,105,62,62,9219,0.5057,0.4677,0.038,4,0.2246,0.4962,0.5171,0.0722,0.339027788228188
"champ_glacierback_mammoth@2","Glacierback Mammoth","snow","bruiser",7,2,"champion",282,1530,959.5,125,70,70,9277.9,0.6271,0.6784,-0.0513,8,0.2482,0.6451,0.6118,0.0392,-0.703469190460061
"champ_glacierback_mammoth@3","Glacierback Mammoth","snow","bruiser",7,3,"champion",186,1008,684,86,85,85,10100.6,0.6786,0.6369,0.0417,32,0.457,0.7143,0.628,0.0863,0.382221951958833
"champ_glade_heron","Glade Heron","rain","mage",8,1,"champion",180,1002,457,53,44,44,8792.6,0.4561,0.479,-0.023,5.0397,0.2444,0.4611,0.491,0.0749,-0.361961896541377
"champ_glade_heron@2","Glade Heron","rain","mage",8,2,"champion",444,2280,1052.5,150,140,140,9344,0.4616,0.4579,0.0037,10.0794,0.3153,0.4816,0.4763,0.0526,-0.0949080318226393
"champ_glade_heron@3","Glade Heron","rain","mage",8,3,"champion",210,1110,1002,179,23,23,8382.2,0.9027,0.8811,0.0216,40.3175,0.1095,0.9135,0.9027,0.0676,0.0841280797303723
"champ_goldcrest_lark","Goldcrest Lark","clear","mage",4,1,"champion",144,1038,443,31,45,45,9687.4,0.4268,0.3931,0.0337,2,0.3125,0.4335,0,0.0723,0.682355318862681
"champ_goldcrest_lark@2","Goldcrest Lark","clear","mage",4,2,"champion",282,1752,904.5,95,68,68,8958.5,0.5163,0.5445,-0.0283,4,0.2411,0.5171,0,0.0377,0.0215694317974444
"champ_goldcrest_lark@3","Goldcrest Lark","clear","mage",4,3,"champion",228,1212,570,65,85,85,9437.8,0.4703,0.5693,-0.099,16,0.3728,0.4381,0,0.0817,-0.731939636194688
"champ_goldhide_rhino","Goldhide Rhino","clear","bruiser",7,1,"champion",246,1410,569,65,54,54,8744.9,0.4035,0.3362,0.0674,4,0.2195,0.3979,0,0.0617,0.682246278412226
"champ_goldhide_rhino@2","Goldhide Rhino","clear","bruiser",7,2,"champion",324,1740,1010.5,131,110,110,9368.4,0.5807,0.5897,-0.0089,8,0.3395,0.5862,0,0.0276,-0.20848742230349
"champ_goldhide_rhino@3","Goldhide Rhino","clear","bruiser",7,3,"champion",210,1224,591,32,156,156,11483.8,0.4828,0.5637,-0.0809,32,0.7429,0.4779,0,0.1103,-1.04902250030521
"champ_granite_gorilla","Granite Gorilla","cloudy","assassin",6,1,"champion",246,1428,667,75,64,64,9038.2,0.4671,0.4496,0.0175,3.1748,0.2602,0.4895,0.4916,0.0714,0.44523825985589
"champ_granite_gorilla@2","Granite Gorilla","cloudy","assassin",6,2,"champion",276,1422,619,37,140,140,10088.8,0.4353,0.3797,0.0556,6.3496,0.5072,0.4219,0.4072,0.0675,1.07523000411843
"champ_granite_gorilla@3","Granite Gorilla","cloudy","assassin",6,3,"champion",144,882,592,65,59,59,10173.5,0.6712,0.7279,-0.0567,25.3984,0.4097,0.6803,0.6735,0.0578,-0.781674795899508
"champ_grovekeeper_tapir","Grovekeeper Tapir","rain","bruiser",4,1,"champion",174,936,459.5,48,71,71,9954.3,0.4909,0.4487,0.0422,2,0.408,0.5513,0.5224,0.1506,0.772946932411947
"champ_grovekeeper_tapir@2","Grovekeeper Tapir","rain","bruiser",4,2,"champion",336,1944,877,99,102,102,9430.6,0.4511,0.429,0.0221,4,0.3036,0.446,0.4429,0.0525,0.558724410960153
"champ_grovekeeper_tapir@3","Grovekeeper Tapir","rain","bruiser",4,3,"champion",138,732,418.5,52,50,50,9849.1,0.5717,0.623,-0.0512,16,0.3623,0.6107,0.4959,0.1148,-0.222495032941167
"champ_hoarfrost_owl","Hoarfrost Owl","snow","mage",4,1,"champion",186,1146,460,69,25,25,8677.5,0.4014,0.5707,-0.1693,2,0.1344,0.3613,0.4634,0.1021,-1.48118556943156
"champ_hoarfrost_owl@2","Hoarfrost Owl","snow","mage",4,2,"champion",240,1302,604.5,69,66,66,9445.5,0.4643,0.5714,-0.1071,4,0.275,0.4747,0.3917,0.1359,-0.818268114988695
"champ_hoarfrost_owl@3","Hoarfrost Owl","snow","mage",4,3,"champion",180,906,469.5,47,60,60,9471.8,0.5182,0.702,-0.1838,16,0.3333,0.5033,0.5199,0.0861,-1.63572420430972
"champ_hollow_elk","Hollow Elk","mist","assassin",4,1,"champion",294,1614,724,62,94,94,9263.4,0.4486,0.4015,0.0471,2,0.3197,0.4684,0.4257,0.0465,0.825170333163877
"champ_hollow_elk@2","Hollow Elk","mist","assassin",4,2,"champion",234,1320,643,74,77,77,9940.2,0.4871,0.4682,0.0189,4,0.3291,0.5295,0.4614,0.0773,0.524619332918076
"champ_hollow_elk@3","Hollow Elk","mist","assassin",4,3,"champion",132,672,414.5,55,58,58,10135.5,0.6168,0.4375,0.1793,16,0.4394,0.6786,0.5804,0.1027,2.23413636977717
"champ_iceclaw_lynx","Iceclaw Lynx","snow","assassin",6,1,"champion",438,2514,1223,126,157,157,9552.6,0.4865,0.5012,-0.0147,3.1748,0.3584,0.4821,0.4391,0.0764,-0.0871957077360754
"champ_iceclaw_lynx@2","Iceclaw Lynx","snow","assassin",6,2,"champion",360,1974,958,154,72,72,8804.7,0.4853,0.4833,0.002,6.3496,0.2,0.4878,0.4909,0.0532,0.188942405890813
"champ_iceclaw_lynx@3","Iceclaw Lynx","snow","assassin",6,3,"champion",306,1674,1072,150,104,104,9666.6,0.6404,0.6272,0.0131,25.3984,0.3399,0.6631,0.5968,0.0753,0.372483307762578
"champ_lostlight_wisp","Lostlight Wisp","mist","mage",1,1,"champion",222,1212,615.5,52,101,101,9691.5,0.5078,0.2376,0.2702,1,0.455,0.5099,0.5446,0.0941,2.8875874673936
"champ_lostlight_wisp@2","Lostlight Wisp","mist","mage",1,2,"champion",270,1584,538,58,61,61,8593,0.3396,0.2917,0.048,2,0.2259,0.3542,0.3314,0.0417,0.346967853353486
"champ_lostlight_wisp@3","Lostlight Wisp","mist","mage",1,3,"champion",246,1422,717.5,70,109,109,9936.8,0.5046,0.4051,0.0995,8,0.4431,0.5169,0.4768,0.0992,0.935815333655314
"champ_marsh_thrush","Marsh Thrush","rain","mage",6,1,"champion",282,1680,551.5,52,101,101,9196.8,0.3283,0.3286,-3e-04,3.1748,0.3582,0.3268,0.3375,0.0304,0.150911408205673
"champ_marsh_thrush@2","Marsh Thrush","rain","mage",6,2,"champion",156,936,444,39,59,59,10380.2,0.4744,0.5449,-0.0705,6.3496,0.3782,0.5385,0.4968,0.0929,-1.00986078201035
"champ_marsh_thrush@3","Marsh Thrush","rain","mage",6,3,"champion",66,348,192.5,27,15,15,8632.9,0.5532,0.6552,-0.102,25.3984,0.2273,0.5345,0.5776,0.1034,-1.53072009813292
"champ_marshghast_boar","Marshghast Boar","mist","bruiser",7,1,"champion",126,738,344,31,61,61,10182.6,0.4661,0.3415,0.1247,4,0.4841,0.4715,0.4959,0.065,1.35117211132193
"champ_marshghast_boar@2","Marshghast Boar","mist","bruiser",7,2,"champion",216,1446,729,68,90,90,10482.5,0.5041,0.4938,0.0104,8,0.4167,0.5062,0.4938,0.0415,0.0168226749941941
"champ_marshghast_boar@3","Marshghast Boar","mist","bruiser",7,3,"champion",324,1776,1104.5,118,179,179,10658,0.6219,0.6014,0.0206,32,0.5525,0.5946,0.6351,0.0625,0.135898477711105
"champ_mirage_caracal","Mirage Caracal","clear","assassin",8,1,"champion",150,828,302,53,28,28,8206.6,0.3647,0.3333,0.0314,5.0397,0.1867,0.4058,0,0.0833,0.182147850301295
"champ_mirage_caracal@2","Mirage Caracal","clear","assassin",8,2,"champion",150,792,348.5,61,21,21,8468.1,0.44,0.4091,0.0309,10.0794,0.14,0.4318,0,0.0682,0.177146841598697
"champ_mirage_caracal@3","Mirage Caracal","clear","assassin",8,3,"champion",222,1128,658.5,112,61,61,8584.8,0.5838,0.6011,-0.0173,40.3175,0.2748,0.609,0,0.0851,-0.304950397331759
"champ_mirewarden_toad","Mirewarden Toad","rain","assassin",7,1,"champion",162,840,457,45,54,54,9704.5,0.544,0.4214,0.1226,4,0.3333,0.5857,0.5714,0.1214,1.32665650488021
"champ_mirewarden_toad@2","Mirewarden Toad","rain","assassin",7,2,"champion",84,486,380,52,19,19,8364.7,0.7819,0.716,0.0658,8,0.2262,0.7531,0.8086,0.0741,0.663567721123299
"champ_mirewarden_toad@3","Mirewarden Toad","rain","assassin",7,3,"champion",150,1020,639,67,57,57,10049.4,0.6265,0.5588,0.0676,32,0.38,0.6794,0.5882,0.0912,0.684581098073342
"champ_mournhollow","Mournhollow, the Pale Stag","mist","hybrid",10,1,"champion",126,708,274.5,19,51,51,9770.4,0.3877,0.4915,-0.1038,8,0.4048,0.3941,0.3432,0.0636,-0.84864477144264
"champ_mournhollow@2","Mournhollow, the Pale Stag","mist","hybrid",10,2,"champion",318,1764,1023.5,141,77,77,8917,0.5802,0.6667,-0.0865,16,0.2421,0.5408,0.5833,0.0901,-0.68202456285701
"champ_mournhollow@3","Mournhollow, the Pale Stag","mist","hybrid",10,3,"champion",264,1488,1099.5,155,89,89,9338.1,0.7389,0.7823,-0.0433,64,0.3371,0.7419,0.7399,0.0645,-0.265955602689426
"champ_nerei","Nerei, the Floodmother","rain","hybrid",10,1,"champion",168,954,486,77,21,21,8417.2,0.5094,0.5031,0.0063,8,0.125,0.522,0.5063,0.0157,0.211753203428911
"champ_nerei@2","Nerei, the Floodmother","rain","hybrid",10,2,"champion",72,486,279,26,20,20,8776,0.5741,0.5556,0.0185,16,0.2778,0.537,0.537,0.142,0.329254159772535
"champ_nerei@3","Nerei, the Floodmother","rain","hybrid",10,3,"champion",282,1530,1069,164,83,83,9111,0.6987,0.8196,-0.1209,64,0.2943,0.7667,0.6667,0.1,-1.01333873484231
"champ_nightglass_mantis","Nightglass Mantis","cloudy","assassin",8,1,"champion",294,1674,847.5,74,102,102,9289.4,0.5063,0.5376,-0.0314,5.0397,0.3469,0.4749,0.5197,0.0502,-0.445978842745025
"champ_nightglass_mantis@2","Nightglass Mantis","cloudy","assassin",8,2,"champion",54,342,63,6,14,14,9214.5,0.1842,0.193,-0.0088,10.0794,0.2593,0.2456,0.0702,0.1754,-0.219933249387592
"champ_nightglass_mantis@3","Nightglass Mantis","cloudy","assassin",8,3,"champion",186,1140,469,61,45,45,9253.7,0.4114,0.5,-0.0886,40.3175,0.2419,0.4658,0.4184,0.0868,-1.01809423832225
"champ_pebbleback_pangolin","Pebbleback Pangolin","cloudy","warrior",1,1,"champion",90,546,228,29,20,20,9557.8,0.4176,0.4945,-0.0769,1,0.2222,0.4176,0.4176,0.0989,-1.08113021052415
"champ_pebbleback_pangolin@2","Pebbleback Pangolin","cloudy","warrior",1,2,"champion",114,738,415.5,55,24,24,8849.7,0.563,0.6341,-0.0711,2,0.2105,0.6057,0.565,0.126,-1.01481340691734
"champ_pebbleback_pangolin@3","Pebbleback Pangolin","cloudy","warrior",1,3,"champion",180,1056,471.5,69,38,38,8884.8,0.4465,0.392,0.0545,8,0.2111,0.483,0.483,0.1051,0.421288409119736
"champ_permafrost_walrus","Permafrost Walrus","snow","marksman",3,1,"champion",372,2130,916,116,90,90,9066.2,0.43,0.4732,-0.0432,1.5874,0.2419,0.4141,0.4535,0.0746,-0.663771931818038
"champ_permafrost_walrus@2","Permafrost Walrus","snow","marksman",3,2,"champion",216,1200,576.5,56,73,73,8787.5,0.4804,0.35,0.1304,3.1748,0.338,0.43,0.4625,0.1,1.29419145893837
"champ_permafrost_walrus@3","Permafrost Walrus","snow","marksman",3,3,"champion",264,1380,716,108,69,69,8685.2,0.5188,0.4696,0.0493,12.6992,0.2614,0.5196,0.4696,0.0891,0.379497732035461
"champ_phantom_lynx","Phantom Lynx","mist","assassin",3,1,"champion",162,936,293.5,22,40,40,8977.8,0.3136,0.2372,0.0764,1.5874,0.2469,0.2596,0.3686,0.109,0.685147547067134
"champ_phantom_lynx@2","Phantom Lynx","mist","assassin",3,2,"champion",360,1962,900,113,101,101,8816.4,0.4587,0.5076,-0.0489,3.1748,0.2806,0.4465,0.4557,0.0841,-0.728059900293335
"champ_phantom_lynx@3","Phantom Lynx","mist","assassin",3,3,"champion",300,1800,881.5,108,91,91,9056.5,0.4897,0.54,-0.0503,12.6992,0.3033,0.4767,0.4833,0.0317,-0.743849927638145
"champ_reedbank_otter","Reedbank Otter","rain","warrior",2,1,"champion",192,1068,432.5,31,82,82,10129.7,0.405,0.3539,0.051,1.2599,0.4271,0.3596,0.427,0.1067,0.492783592600786
"champ_reedbank_otter@2","Reedbank Otter","rain","warrior",2,2,"champion",384,2250,1009,125,102,102,9091.6,0.4484,0.5413,-0.0929,2.5198,0.2656,0.4773,0.4227,0.0547,-1.62946976858995
"champ_reedbank_otter@3","Reedbank Otter","rain","warrior",2,3,"champion",186,1122,598,82,33,33,8878.5,0.533,0.5241,0.0089,10.0794,0.1774,0.5241,0.5588,0.0561,-0.128111935586358
"champ_riptide_caiman","Riptide Caiman","rain","warrior",9,1,"champion",300,1752,796,99,77,77,8787,0.4543,0.3904,0.0639,6.3496,0.2567,0.4538,0.4829,0.0736,0.797063664114355
"champ_riptide_caiman@2","Riptide Caiman","rain","warrior",9,2,"champion",138,738,472.5,71,19,19,8452.2,0.6402,0.7073,-0.0671,12.6992,0.1377,0.6667,0.6341,0.1341,-0.466848393975666
"champ_riptide_caiman@3","Riptide Caiman","rain","warrior",9,3,"champion",246,1308,782,153,23,23,7944.8,0.5979,0.5963,0.0015,50.7968,0.0935,0.594,0.6032,0.0459,0.195017004382925
"champ_snowpelt_cub","Snowpelt Cub","snow","warrior",1,1,"champion",306,1686,842,102,88,88,9217.2,0.4994,0.5338,-0.0344,1,0.2876,0.5107,0.5356,0.0587,-0.595188115129438
"champ_snowpelt_cub@2","Snowpelt Cub","snow","warrior",1,2,"champion",210,1062,486,53,75,75,9033.5,0.4576,0.6215,-0.1638,2,0.3571,0.4689,0.4576,0.0226,-2.07473887146063
"champ_snowpelt_cub@3","Snowpelt Cub","snow","warrior",1,3,"champion",330,1812,1017.5,89,159,159,10447.3,0.5615,0.5298,0.0317,8,0.4818,0.5613,0.5315,0.0613,0.160594767355044
"champ_sparkfly","Sparkfly","thunder","mage",1,1,"champion",270,1458,516.5,49,85,85,9234.5,0.3543,0.3128,0.0415,1,0.3148,0.3416,0.3086,0.0782,0.272647297587236
"champ_sparkfly@2","Sparkfly","thunder","mage",1,2,"champion",306,1668,610.5,69,66,66,8493.4,0.366,0.3849,-0.0189,2,0.2157,0.3723,0.3813,0.027,-0.417962174456072
"champ_sparkfly@3","Sparkfly","thunder","mage",1,3,"champion",240,1272,677.5,68,118,118,10434.1,0.5326,0.3915,0.1411,8,0.4917,0.5165,0.5071,0.059,1.41146689055931
"champ_spectral_heron","Spectral Heron","mist","mage",9,1,"champion",264,1584,664,82,70,70,9062.6,0.4192,0.3712,0.048,6.3496,0.2652,0.4394,0.4223,0.0303,0.643657544086635
"champ_spectral_heron@2","Spectral Heron","mist","mage",9,2,"champion",222,1230,752.5,119,34,34,8375.1,0.6118,0.5756,0.0362,12.6992,0.1532,0.6024,0.6195,0.0293,0.529808977022038
"champ_spectral_heron@3","Spectral Heron","mist","mage",9,3,"champion",348,1968,1442.5,230,74,74,8301.3,0.733,0.8262,-0.0932,50.7968,0.2126,0.7515,0.6936,0.0671,-0.718665987228716
"champ_springfrog","Springfrog","rain","mage",1,1,"champion",246,1380,552.5,62,68,68,9476,0.4004,0.4,4e-04,1,0.2764,0.3913,0.4,0.1717,-0.197287293488591
"champ_springfrog@2","Springfrog","rain","mage",1,2,"champion",180,966,536.5,66,55,55,9547.5,0.5554,0.5155,0.0399,2,0.3056,0.5683,0.559,0.0807,0.254353006937082
"champ_springfrog@3","Springfrog","rain","mage",1,3,"champion",174,972,636.5,69,89,89,10256.4,0.6548,0.5123,0.1425,8,0.5115,0.6944,0.6574,0.0648,1.4274743948782
