"plot","panel","group","name","tier","level","role","value","win_rate","cohort_min","cohort_mean","cohort_max"
"m8_09","wr_delta~role","spellblade","Aurion, the First Dawn",10,3,"spellblade",-0.1506,0.753,-0.0882,-0.0038,0.0624
"m8_09","wr_delta~role","mage","Steam Engineer",4,3,"mage",-0.1139,0.377,-0.0789,0.0184,0.1142
"m8_09","wr_delta~role","support","Coppercrest Stork",4,3,"support",-0.0812,0.425,-0.0579,0.0082,0.071
"m8_09","wr_delta~role","support","Hoarfrost Owl",4,3,"support",-0.0649,0.511,-0.0579,0.0082,0.071
"m8_09","wr_delta~role","support","Lostlight Wisp",1,3,"support",0.0943,0.559,-0.0579,0.0082,0.071
"m8_09","wr_delta~role","support","Springfrog",1,2,"support",0.1023,0.481,-0.0579,0.0082,0.071
"m8_09","wr_delta~role","support","Springfrog",1,3,"support",0.1402,0.642,-0.0579,0.0082,0.071
"m8_09","wr_delta~role","support","Hierarch",8,3,"support",-0.1283,0.618,-0.0579,0.0082,0.071
"m8_09","wr_delta~role","marksman","Umbra, the Mountain's Shadow",10,1,"marksman",0.0771,0.484,-0.0381,0.0094,0.0556
"m8_09","wr_delta~role","marksman","Voltaic Diviner",5,3,"marksman",-0.0679,0.527,-0.0381,0.0094,0.0556
"m8_09","wr_delta~role","bruiser","Marshghast Boar",7,3,"bruiser",-0.0931,0.571,-0.0746,-0.0061,0.0345
"m8_09","wr_delta~role","bruiser","Dredge-Hulk",7,3,"bruiser",-0.0977,0.611,-0.0746,-0.0061,0.0345
"m8_09","wr_delta~tier","10","Aerion, the Skybreaker",10,3,"spellblade",-0.0882,0.759,-0.0744,0.0259,0.1142
"m8_09","wr_delta~tier","10","Aurion, the First Dawn",10,3,"spellblade",-0.1506,0.753,-0.0744,0.0259,0.1142
"m8_09","wr_delta~tier","10","Stone Warden",10,3,"tank",-0.1236,0.728,-0.0744,0.0259,0.1142
"m8_09","wr_delta~tier","3","Ember Salamander",3,3,"mage",0.0775,0.599,-0.0448,0.0027,0.0489
"m8_09","wr_delta~tier","9","Cliffeyrie Eagle",9,3,"spellslinger",-0.0973,0.719,-0.0746,0.0079,0.0907
"m8_09","wr_delta~tier","9","Maw of the Drowned",9,3,"tank",-0.1312,0.642,-0.0746,0.0079,0.0907
"m8_09","wr_delta~tier","4","Steam Engineer",4,3,"mage",-0.1139,0.377,-0.0812,-0.0105,0.0432
"m8_09","wr_delta~tier","1","Springfrog",1,3,"support",0.1402,0.642,-0.0743,0.0039,0.1023
"m8_09","wr_delta~tier","7","Mirewarden Toad",7,3,"tank",-0.1051,0.565,-0.0931,-0.0071,0.0624
"m8_09","wr_delta~tier","7","Dredge-Hulk",7,3,"bruiser",-0.0977,0.611,-0.0931,-0.0071,0.0624
"m8_09","wr_delta~tier","8","Hierarch",8,3,"support",-0.1283,0.618,-0.0755,0.0063,0.0642
