team_a,team_b,weather,outcome,duration_ticks,hp_remaining_a,hp_remaining_b,timed_out
champ_duskstep_marten@2|champ_frostquill_porcupine@3,champ_will_o_fawn@3|enemy_cannoneer@3,clear,win,6000,2691,0,0
champ_mournhollow@2|enemy_capture_rig_wolf@2,champ_sparkfly@2|enemy_flood_tyrant@3,clear,loss,7598,0,3583,0
champ_permafrost_walrus@2|enemy_levyman,enemy_glacier_goliath@3|enemy_stormhawk,clear,loss,7272,0,2760,0
champ_dusk_bat|enemy_stormhawk@3,enemy_steam_engineer|enemy_steam_knight@2,clear,win,9600,203,0,0
champ_ember_salamander|enemy_hierarch@3,champ_snowpelt_cub@2|champ_tempest_eel@2,clear,draw,12053,1996,0,1
champ_goldhide_rhino@3|enemy_stone_warden@2,enemy_frost_sovereign|enemy_lord_commander@3,clear,draw,12077,2282,0,1
champ_mirewarden_toad|champ_tempest_eel@2,champ_spectral_heron@2|enemy_field_chaplain@3,clear,loss,9600,0,2563,0
champ_sunmane_lion|enemy_caged_banshee@2,champ_thunderclap_gorilla@3|enemy_drowned_siren@2,clear,loss,6050,0,3747,0
champ_goldcrest_lark@2|enemy_cannoneer@3,champ_snowpelt_cub|enemy_stretcher_hand,clear,win,3485,4472,0,0
champ_aurion@2|enemy_levyman,champ_dawnwisp@2|enemy_steam_knight,clear,win,8666,2062,0,0
champ_iceclaw_lynx@2|enemy_grand_marshal,champ_mournhollow@2|champ_thunderhoof_colt@2,clear,win,6199,1897,0,0
enemy_arcanist@2|enemy_company_guard,enemy_cold_iron_yeti|enemy_field_medic@3,clear,draw,12000,1773,0,1
champ_aegis_tortoise@2|enemy_blight_lurker@3,champ_duskstep_marten|champ_marsh_thrush,clear,win,7163,4686,0,0
champ_dusk_bat@3|champ_phantom_lynx,enemy_levyman@2|enemy_quarried_behemoth@3,clear,loss,7200,0,8710,0
champ_spectral_heron|enemy_powder_sapper,enemy_quarried_behemoth@3|enemy_riflemaster@2,clear,loss,4545,0,8448,0
champ_frostplate_tortoise@3|champ_snowpelt_cub@2,champ_marsh_thrush@2|enemy_capture_rig_wolf@2,clear,win,9879,2311,0,0
champ_dawnwisp@2|champ_dusk_bat@3,champ_duskstep_marten@2|champ_veilfang_wolf@2,clear,loss,7200,0,2882,0
champ_grovekeeper_tapir@3|enemy_company_guard,enemy_dredge_hulk@2|enemy_iron_maiden@2,clear,draw,12110,0,0,1
champ_coppercrest_stork@3|enemy_shroud_killer@3,champ_fogveil_moth@3|enemy_company_captain@2,clear,win,6393,3470,0,0
champ_granite_gorilla@2|enemy_stormhawk@2,champ_torrent_heron|enemy_steam_engineer,clear,win,4800,3045,0,0
champ_aerion@2|champ_ember_salamander@2,champ_veilfang_wolf@3|enemy_field_chaplain,clear,loss,6891,0,3462,0
enemy_company_guard|enemy_veil_lord@3,enemy_maw_of_the_drowned@3|enemy_stone_warden@3,clear,loss,10545,0,11020,0
enemy_inquisitor|enemy_pikeman@2,enemy_quarry_crawler@2|enemy_stone_warden,clear,loss,7356,0,3333,0
enemy_frost_sovereign@2|enemy_quarry_crawler@3,enemy_heavy_knight@3|enemy_iron_collared_hound@2,clear,win,10640,2522,0,0
champ_aerion@2|enemy_storm_tyrant@3,enemy_iron_collared_hound|enemy_steam_knight@2,clear,win,3600,6308,0,0
champ_snowpelt_cub@3|champ_veilfang_wolf@2,champ_sunmane_lion|enemy_caged_storm_drake@2,clear,win,8000,2183,0,0
champ_torrent_heron@2|enemy_shaftmaw@2,enemy_crossbow_levy@3|enemy_levyman@3,clear,loss,4903,0,3376,0
champ_ember_salamander@2|enemy_iron_maiden@3,champ_permafrost_walrus@2|enemy_hexblade_officer@2,clear,win,6606,5208,0,0
champ_iceclaw_lynx@3|champ_thunderclap_gorilla@2,champ_sparkfly@3|enemy_battlemage,clear,win,5729,4092,0,0
champ_eclipse_jaguar@3|champ_wraithorn_stag@2,champ_granite_gorilla@2|champ_sunmane_lion,clear,win,7200,3601,0,0
champ_nightglass_mantis@3|enemy_stormhawk,champ_storm_eagle@2|champ_veilfang_wolf@3,clear,loss,10267,0,808,0
champ_dusk_bat@3|champ_iceclaw_lynx@3,champ_fogveil_moth@3|enemy_hexblade_officer@3,clear,draw,12041,0,1982,1
champ_lostlight_wisp@2|champ_storm_eagle@3,enemy_drained_stalker@2|enemy_maw_of_the_drowned,clear,win,4800,4183,0,0
champ_sunmane_lion|enemy_hexblade_officer,enemy_spymaster|enemy_thunder_bull,clear,loss,6271,0,909,0
champ_iceclaw_lynx@2|enemy_maw_of_the_drowned@2,champ_sunspear_falcon@2|champ_thunderclap_gorilla,clear,loss,7944,0,848,0
champ_nightglass_mantis@3|champ_wintermoth@2,champ_pebbleback_pangolin@3|enemy_sergeant_at_arms,clear,win,7200,2847,0,0
champ_ember_salamander@3|enemy_thunder_bull@3,champ_hollow_elk@2|enemy_lord_commander,clear,win,5605,4196,0,0
champ_coppercrest_stork|enemy_battlemage,enemy_maw_of_the_drowned|enemy_quarry_crawler@2,clear,loss,5333,0,1860,0
champ_geode_beetle@3|enemy_storm_tyrant,champ_torrent_heron|enemy_maw_of_the_drowned@2,clear,loss,9725,0,364,0
champ_aegis_tortoise@2|champ_voltscale_mamba@3,champ_granite_gorilla|enemy_spymaster@3,clear,loss,7200,0,2968,0
champ_glacierback_mammoth|champ_glade_heron@3,champ_granite_gorilla@3|champ_sunmane_lion,clear,win,7959,4329,0,0
champ_geode_beetle|enemy_pikeman,enemy_field_chaplain|enemy_signal_drummer,clear,draw,12042,301,0,1
champ_dawnwisp@3|champ_frostplate_tortoise@3,champ_spectral_heron@3|enemy_grand_marshal@2,clear,loss,7949,0,5171,0
champ_coral_colossus|champ_goldhide_rhino@3,champ_hollow_elk|enemy_conscript@2,clear,win,8411,7214,0,0
champ_geode_beetle@2|enemy_arcanist@2,enemy_capture_rig_wolf@2|enemy_picket@2,clear,win,4647,2052,0,0
champ_coral_colossus@2|champ_tempest_eel,enemy_company_guard|enemy_spymaster,clear,win,10993,824,0,0
champ_iceclaw_lynx@2|enemy_shroud_killer@3,champ_lostlight_wisp@3|champ_snowpelt_cub@2,clear,win,4800,3501,0,0
champ_mournhollow@3|enemy_cannoneer,champ_tempest_eel@2|champ_voltscale_mamba,clear,win,3600,4826,0,0
champ_boulderhide_skink@3|champ_voltscale_mamba@2,champ_glade_heron@3|champ_storm_eagle@2,clear,loss,3469,0,4451,0
champ_aerion@2|champ_glade_heron,enemy_company_guard@3|enemy_picket@3,clear,loss,9693,0,3129,0
champ_pebbleback_pangolin@3|enemy_sundered_lord@2,champ_spectral_heron@2|enemy_storm_tyrant@3,clear,loss,8148,0,4852,0
champ_coppercrest_stork@2|enemy_brineblight_berserker,champ_phantom_lynx@3|enemy_flood_tyrant,clear,loss,4800,0,2757,0
champ_coppercrest_stork@3|enemy_archmagus_imperator,champ_umbra@2|enemy_avalanche_engine,clear,draw,12010,0,1126,1
champ_nightglass_mantis|enemy_field_chaplain@2,champ_umbra|champ_wraithorn_stag@3,clear,loss,5431,0,3888,0
champ_spectral_heron@2|enemy_stormhawk,champ_voltscale_mamba@3|enemy_cold_iron_yeti,clear,win,7200,183,0,0
champ_glacierback_mammoth@2|enemy_voltaic_diviner@3,champ_lostlight_wisp|champ_sunmane_lion@2,clear,win,7200,3854,0,0
champ_glacierback_mammoth@2|enemy_riflemaster@3,champ_wintermoth@3|enemy_crossbow_levy,clear,win,5276,5576,0,0
enemy_hollowed_wisp@3|enemy_iron_maiden@3,enemy_stormhawk@2|enemy_thunder_bull,clear,win,4800,7064,0,0
champ_coppercrest_stork@2|champ_sunmane_lion,champ_mirage_caracal@2|enemy_quarry_crawler,clear,loss,7200,0,1173,0
champ_eclipse_jaguar@3|champ_tempest_eel@2,champ_wraithorn_stag@3|enemy_standard_bearer@2,clear,win,8000,1935,0,0
champ_thunderhoof_colt@2|enemy_maw_of_the_drowned@2,enemy_cannoneer@3|enemy_veil_lord@3,clear,loss,3999,0,7247,0
champ_glade_heron@3|enemy_brineblight_berserker@3,champ_mournhollow@2|enemy_quarried_behemoth@2,clear,win,6199,4987,0,0
champ_veilfang_wolf@2|enemy_crossbow_levy@2,enemy_hierarch|enemy_sergeant_at_arms@2,clear,win,7200,2230,0,0
champ_eclipse_jaguar@3|enemy_conscript@2,champ_nerei@2|enemy_avalanche_engine,clear,win,9333,946,0,0
enemy_cannoneer|enemy_hexblade_officer@3,enemy_iron_maiden@2|enemy_stretcher_hand@3,clear,win,10359,2713,0,0
champ_torrent_heron@2|enemy_powder_sapper,enemy_capture_rig_wolf|enemy_lord_commander@2,clear,loss,5012,0,1078,0
champ_goldhide_rhino|enemy_storm_tyrant,champ_torrent_heron|enemy_hexblade_officer@2,clear,win,6667,1792,0,0
champ_umbra@3|enemy_storm_tyrant@3,champ_voltmane_jackal@3|enemy_capture_rig_wolf@3,clear,win,7333,6679,0,0
champ_goldhide_rhino@3|champ_mournhollow@3,enemy_company_captain@3|enemy_storm_tyrant@2,clear,win,7334,9427,0,0
champ_marsh_thrush@3|enemy_flood_tyrant@3,champ_permafrost_walrus@2|enemy_hierarch,clear,win,4834,5951,0,0
champ_aegis_tortoise|champ_torrent_heron@3,champ_pebbleback_pangolin@3|champ_thunderclap_gorilla@3,clear,loss,5851,0,5219,0
champ_veilfang_wolf@2|enemy_signal_drummer@2,champ_voltscale_mamba@2|enemy_storm_tyrant@2,clear,win,8762,294,0,0
champ_veldt_pronghorn@3|enemy_field_medic@2,enemy_drained_stalker@2|enemy_stretcher_hand,clear,win,6000,1938,0,0
champ_will_o_fawn|enemy_shroud_killer@3,enemy_spymaster|enemy_storm_tyrant,clear,win,4173,1626,0,0
champ_marshghast_boar@3|enemy_shroud_killer,enemy_blight_lurker@3|enemy_stretcher_hand@2,clear,draw,12121,1060,0,1
champ_boulderhide_skink|champ_hollow_elk,champ_nerei@3|champ_reedbank_otter@2,clear,loss,4000,0,4804,0
champ_aegis_tortoise|enemy_crossbow_levy@2,champ_coral_colossus@2|champ_springfrog@2,clear,draw,12044,0,1164,1
enemy_field_medic|enemy_storm_tyrant@3,enemy_iron_collared_hound@2|enemy_picket@2,clear,win,3600,4827,0,0
champ_hollow_elk|champ_sparkfly@2,enemy_cannoneer|enemy_gunslinger@2,clear,loss,5743,0,1945,0
champ_ember_salamander@2|enemy_drowned_siren@3,enemy_cold_iron_yeti@3|enemy_slag_sentinel@2,clear,loss,7272,0,3758,0
champ_mirage_caracal|enemy_veil_lord@3,champ_phantom_lynx@2|enemy_company_guard@2,clear,win,4779,4697,0,0
champ_veldt_pronghorn|enemy_riflemaster@2,enemy_drained_stalker@2|enemy_shaftmaw@2,clear,win,6000,1047,0,0
champ_frostplate_tortoise@3|champ_snowpelt_cub,champ_umbra@3|enemy_stormhawk@3,clear,loss,9600,0,5161,0
champ_spectral_heron|enemy_spymaster@3,champ_tempest_eel|enemy_hollowed_wisp@3,clear,win,4800,3192,0,0
enemy_conscript@2|enemy_quarried_behemoth@3,enemy_sergeant_at_arms@2|enemy_steam_knight@3,clear,draw,12042,3298,0,1
champ_nerei|enemy_quarried_behemoth,enemy_brineblight_berserker@2|enemy_veil_lord@3,clear,loss,7299,0,3960,0
champ_coral_colossus@3|champ_sparkfly@3,enemy_frost_sovereign|enemy_shaftmaw,clear,win,8738,4640,0,0
champ_frostfang_wolverine@2|enemy_stone_warden@2,champ_thunderclap_gorilla@2|enemy_hierarch@3,clear,draw,12035,3021,0,1
champ_dawnwisp@2|enemy_picket,enemy_field_medic|enemy_hollowed_wisp@2,clear,loss,11285,0,822,0
champ_fogveil_moth|enemy_drained_stalker,champ_snowpelt_cub|champ_thunderclap_gorilla@3,clear,loss,5554,0,4382,0
champ_duskstep_marten@3|enemy_cold_iron_yeti@3,champ_voltscale_mamba@2|enemy_capture_rig_wolf@2,clear,win,4800,6484,0,0
champ_iceclaw_lynx|champ_permafrost_walrus@2,enemy_brineblight_berserker@2|enemy_veil_lord@2,clear,loss,5162,0,2255,0
champ_aegis_tortoise@3|champ_glacierback_mammoth,enemy_steam_knight@3|enemy_thunder_bull@2,clear,loss,11824,0,2614,0
champ_sunspear_falcon@2|champ_will_o_fawn,champ_veldt_pronghorn@2|enemy_levyman,clear,win,6000,1760,0,0
champ_goldcrest_lark@3|champ_spectral_heron@2,champ_granite_gorilla@3|enemy_drowned_siren@3,clear,draw,12074,0,2329,1
champ_lostlight_wisp|enemy_frost_sovereign,champ_storm_eagle|enemy_dredge_hulk@3,clear,loss,7349,0,6372,0
enemy_company_guard@3|enemy_hexblade_officer,enemy_dredge_hulk|enemy_lord_commander@2,clear,draw,12058,0,1289,1
champ_duskstep_marten@2|enemy_cold_iron_yeti@3,enemy_field_medic@2|enemy_levyman@2,clear,win,7200,5299,0,0
champ_fogveil_moth@3|champ_grovekeeper_tapir@2,champ_hollow_elk@3|champ_riptide_caiman@2,clear,draw,12039,0,3049,1
enemy_caged_banshee@2|enemy_company_captain@2,enemy_iron_maiden@3|enemy_lord_commander,clear,loss,6889,0,6663,0
champ_boulderhide_skink@2|champ_frostfang_wolverine,enemy_pikeman|enemy_storm_tyrant,clear,loss,4666,0,1189,0
champ_pebbleback_pangolin|enemy_company_captain@3,enemy_caged_banshee@2|enemy_quarry_crawler@3,clear,loss,9208,0,2704,0
champ_phantom_lynx@2|enemy_riven_frost_wyrm@3,champ_sunspear_falcon@2|enemy_grand_marshal,clear,win,7200,2120,0,0
champ_aerion|enemy_frost_sovereign@2,champ_thunderhoof_colt@3|enemy_arcanist,clear,loss,8858,0,331,0
champ_snowpelt_cub@3|champ_sunspear_falcon@3,enemy_glacier_goliath@3|enemy_signal_drummer@3,clear,draw,12000,3886,0,1
champ_permafrost_walrus|champ_voltmane_jackal@3,champ_will_o_fawn@2|enemy_drowned_siren@2,clear,win,3550,3405,0,0
champ_boulderhide_skink@2|enemy_iron_maiden,enemy_caged_storm_drake|enemy_riflemaster,clear,win,7200,1149,0,0
champ_will_o_fawn@2|enemy_stormhawk,enemy_capture_rig_wolf|enemy_stretcher_hand@3,clear,loss,7815,0,1326,0
champ_boulderhide_skink@3|enemy_caged_banshee@2,enemy_crossbow_levy@2|enemy_glacier_goliath@3,clear,loss,10129,0,2337,0
champ_dawnwisp@2|champ_mirewarden_toad,champ_storm_eagle@2|enemy_blight_lurker@3,clear,loss,7200,0,5421,0
champ_springfrog@3|enemy_avalanche_engine@3,enemy_field_medic@2|enemy_voltaic_diviner@2,clear,win,4216,2982,0,0
champ_dawnwisp@3|champ_wraithorn_stag@3,champ_reedbank_otter|enemy_steam_engineer@3,clear,win,6000,4174,0,0
champ_borealis@2|enemy_veil_lord@3,enemy_blight_lurker@3|enemy_quarried_behemoth,clear,draw,12037,4261,0,1
champ_glade_heron@2|enemy_stormhawk,champ_phantom_lynx|enemy_pikeman,clear,win,4800,1824,0,0
champ_goldhide_rhino@3|enemy_signal_drummer,champ_marsh_thrush|enemy_field_medic@3,clear,draw,12067,4512,0,1
champ_cliffeyrie_eagle|champ_coppercrest_stork@3,champ_eclipse_jaguar@3|enemy_steam_knight,clear,loss,8000,0,1981,0
champ_ember_salamander@3|enemy_riflemaster,champ_nerei@3|enemy_caged_storm_drake@3,clear,loss,3999,0,7428,0
champ_borealis@2|enemy_signal_drummer,champ_nightglass_mantis|champ_spectral_heron,clear,win,7231,681,0,0
champ_grovekeeper_tapir|enemy_field_chaplain@3,enemy_conscript|enemy_standard_bearer@3,clear,draw,12061,232,0,1
champ_springfrog|enemy_company_captain@3,champ_tempest_eel@2|enemy_blight_lurker@3,clear,loss,9333,0,4101,0
champ_borealis|enemy_levyman,champ_fogveil_moth@3|enemy_flood_tyrant,clear,loss,9553,0,2010,0
champ_geode_beetle@2|champ_sparkfly@2,enemy_slag_sentinel|enemy_thunder_bull@3,clear,loss,5310,0,3932,0
champ_torrent_heron@2|enemy_veil_lord@3,enemy_riven_frost_wyrm@2|enemy_sundered_lord@3,clear,loss,10800,0,1093,0
enemy_archmagus_imperator@3|enemy_conscript@3,enemy_field_chaplain@2|enemy_spymaster@2,clear,win,4666,4622,0,0
champ_eclipse_jaguar@3|enemy_hexblade_officer@2,champ_wintermoth|enemy_steam_engineer@2,clear,win,3600,4445,0,0
champ_iceclaw_lynx|enemy_crossbow_levy,champ_mirage_caracal|enemy_inquisitor,clear,loss,5651,0,900,0
champ_veilfang_wolf|enemy_quarried_behemoth,enemy_blight_lurker|enemy_stretcher_hand@2,clear,win,7697,3399,0,0
champ_glade_heron@2|champ_lostlight_wisp@3,champ_marsh_thrush@2|enemy_sergeant_at_arms@2,clear,win,10493,2173,0,0
champ_boulderhide_skink@2|enemy_quarried_behemoth@3,champ_glacierback_mammoth@2|champ_veilfang_wolf,clear,win,9725,7001,0,0
enemy_battlemage|enemy_stone_warden@3,enemy_conscript|enemy_iron_collared_hound@3,clear,win,7200,8099,0,0
champ_boulderhide_skink@3|champ_will_o_fawn@2,champ_voltmane_jackal@2|enemy_gunslinger@2,clear,loss,6666,0,103,0
champ_storm_eagle|champ_wintermoth,champ_tempest_eel@3|enemy_riflemaster@3,clear,loss,3025,0,3922,0
champ_goldhide_rhino@2|enemy_flood_tyrant@3,champ_iceclaw_lynx|champ_snowpelt_cub@3,clear,win,10666,4722,0,0
champ_sparkfly@2|enemy_field_medic,champ_tempest_eel@2|enemy_dredge_hulk@3,clear,loss,4431,0,6854,0
champ_sunspear_falcon|enemy_steam_knight,enemy_iron_maiden@3|enemy_shroud_killer,clear,loss,8135,0,4757,0
champ_coral_colossus|champ_wraithorn_stag,champ_goldcrest_lark@2|enemy_pikeman@2,clear,win,8497,2014,0,0
enemy_blight_lurker@3|enemy_stormhawk,enemy_powder_sapper|enemy_shaftmaw,clear,win,4424,3814,0,0
champ_aerion@3|enemy_maw_of_the_drowned@3,champ_tempest_eel|enemy_voltaic_diviner@3,clear,win,3600,6898,0,0
champ_frostfang_wolverine@3|champ_sparkfly@3,champ_sunmane_lion@3|champ_voltmane_jackal,clear,win,7059,831,0,0
champ_frostfang_wolverine@2|champ_sparkfly,champ_mournhollow@2|enemy_hollowed_wisp,clear,loss,6666,0,281,0
champ_mirewarden_toad|enemy_grand_marshal,champ_permafrost_walrus|enemy_arcanist@2,clear,loss,6411,0,341,0
champ_voltscale_mamba@2|enemy_arcanist,enemy_company_guard@2|enemy_lord_commander@3,clear,loss,4545,0,4241,0
champ_aurion|enemy_company_captain@3,champ_glacierback_mammoth|enemy_grand_marshal@2,clear,loss,7200,0,1541,0
champ_sunspear_falcon|champ_umbra,enemy_drowned_siren@2|enemy_voltaic_diviner@3,clear,win,6000,1346,0,0
champ_phantom_lynx@3|enemy_capture_rig_wolf,champ_sparkfly@2|enemy_veil_lord,clear,win,7200,651,0,0
champ_tempest_eel|enemy_reaver_of_the_reach@2,enemy_inquisitor@2|enemy_riflemaster@3,clear,loss,4051,0,3307,0
champ_umbra|enemy_storm_tyrant,enemy_avalanche_engine@3|enemy_quarry_crawler,clear,loss,7078,0,306,0
champ_wintermoth@3|enemy_iron_collared_hound@2,enemy_flood_tyrant@3|enemy_maw_of_the_drowned@2,clear,loss,7333,0,5594,0
champ_sparkfly|enemy_maw_of_the_drowned@3,enemy_capture_rig_wolf@2|enemy_grand_marshal@2,clear,loss,9357,0,14,0
enemy_crossbow_levy@2|enemy_riflemaster,enemy_field_medic@2|enemy_glacier_goliath@2,clear,loss,10970,0,1186,0
champ_mirage_caracal@2|champ_torrent_heron@2,champ_reedbank_otter@3|enemy_archmagus_imperator@2,clear,loss,4667,0,2601,0
enemy_frost_sovereign|enemy_thunder_bull@3,enemy_grand_marshal@3|enemy_steam_engineer,clear,loss,8254,0,2872,0
champ_goldcrest_lark@2|champ_mournhollow@3,champ_riptide_caiman@2|champ_spectral_heron@3,clear,loss,8574,0,1905,0
champ_wintermoth|enemy_drained_stalker,enemy_flood_tyrant|enemy_frost_sovereign@3,clear,loss,3600,0,5639,0
champ_goldhide_rhino@2|enemy_voltaic_diviner,enemy_grand_marshal@3|enemy_spymaster@3,clear,loss,4800,0,6843,0
champ_aurion@2|enemy_iron_maiden,champ_goldhide_rhino@2|champ_sunspear_falcon@3,clear,loss,6000,0,4981,0
